rank,company_code,company_name,esg_score,quantitative_score,qualitative_score,e_score,s_score,g_score,indicator_count,extracted_count,calculated_count,filled_count
171,300265.SZ,通光线缆,40.26579489502353,50.33224361877941,0,51.57082417443911,52.43685680224771,47.66642627717296,40,11,0,29
172,301063.SZ,海锅股份,40.24815894169022,50.31019867711277,0,51.57082417443911,52.55137275195572,47.66045966039392,40,15,0,25
173,301361.SZ,众智科技,40.241847938042156,50.30230992255269,0,51.57082417443911,52.59171747252354,47.61549569135157,38,13,0,25
174,300014.SZ,亿纬锂能,40.23991032036066,50.29988790045082,0,51.57082417443911,54.91223328210844,46.99219545823508,40,24,0,16
175,605028.SH,世茂能源,40.23780887628027,50.297261095350336,0,49.87908233989383,52.52619905430744,49.274344650746336,40,10,1,29
176,688611.SH,杭州柯林,40.23281957557982,50.29102446947477,0,51.57082417443911,49.72143305172342,49.4312018687164,38,19,0,19
177,300457.SZ,赢合科技,40.2255406826963,50.28192585337037,0,51.57082417443911,51.881293195577,47.89973578463402,40,13,0,27
178,00135.HK,KUNLUN ENERGY,40.21998661274611,50.27498326593264,0,47.82036335084351,49.024745161990595,53.54037549959473,37,10,0,27
179,002309.SZ,中利集团,40.207415847458925,50.259269809323655,0,51.57082417443911,53.512560518844765,47.14417036289342,39,14,0,25
180,601179.SH,中国西电,40.19106218672239,50.238827733402985,0,51.57082417443911,47.912713621485366,50.294596052015194,38,12,0,26
181,920237.BJ,力佳科技,40.18783253433469,50.234790667918354,0,51.57082417443911,52.651828296217516,47.09657567551406,37,5,0,32
182,600642.SH,申能股份,40.17319071318066,50.21648839147582,0,51.64929938730675,47.73742822373008,50.08713195465461,40,22,2,16
183,603619.SH,中曼石油,40.145507464681714,50.181884330852135,0,51.57082417443911,46.9346935992918,50.60514043238021,38,21,0,17
184,301511.SZ,德福科技,40.130924269948,50.16365533743499,0,47.64292461946197,53.82680757171317,50.614652567062464,39,16,0,23
185,001283.SZ,豪鹏科技,40.12448196947991,50.15560246184988,0,51.57082417443911,47.59518258984009,50.271976663054424,40,14,0,26
186,301456.SZ,盘古智能,40.096330529685545,50.12041316210693,0,51.57082417443911,54.50708985900877,45.78641677804705,40,17,0,23
187,301266.SZ,宇邦新材,40.07870862442168,50.098385780527096,0,51.57082417443911,47.51011667968661,50.10711922531008,39,15,0,24
188,01080.HK,SHENGLI PIPE,40.07271973325923,50.09089966657403,0,51.57082417443911,47.04144807043,49.951581134125576,37,5,0,32
189,01193.HK,CHINA RES GAS,40.06700051836801,50.08375064796001,0,51.57082417443911,47.04144807043,49.93672263001906,38,7,0,31
190,300062.SZ,中能电气,40.06490445543046,50.08113056928807,0,51.57082417443911,54.487709508092834,46.21956430647039,39,19,0,20
191,000591.SZ,太阳能,40.063641415318585,50.079551769148225,0,51.70755006617708,53.07773569883213,46.2949903429451,40,12,2,26
192,002340.SZ,格林美,40.045129195853214,50.056411494816516,0,51.977598354012926,47.991619772012726,48.54194509617494,46,26,3,17
193,002169.SZ,智光电气,40.02939905328974,50.03674881661217,0,51.57082417443911,46.489906520562364,50.51826485841828,39,7,0,32
194,920299.BJ,灿能电力,40.02147189840253,50.02683987300316,0,51.57082417443911,51.145540031301074,47.509187911687455,37,6,0,31
195,002366.SZ,融发核电,40.018255155075394,50.02281894384424,0,51.57082417443911,49.104926520218854,48.76522986892893,38,7,0,31
196,300514.SZ,友讯达,40.01618006005496,50.020225075068694,0,51.57082417443911,53.58152591782062,46.98878047817507,39,21,0,18
197,688503.SH,聚和材料,40.005313025956355,50.006641282445436,0,51.57082417443911,48.00013005660363,49.58834167443383,38,19,0,19
198,300660.SZ,江苏雷利,40.002750485371735,50.00343810671466,0,51.57082417443911,48.109826632603856,49.48773653962708,40,13,0,27
199,688772.SH,珠海冠宇,40.00062051276853,50.000775640960654,0,51.57082417443911,58.1259985476381,44.55853665292699,38,21,0,17
200,301157.SZ,华塑科技,39.99449066643867,49.993113333048335,0,51.57082417443911,57.00971334589078,43.856827904561946,39,12,0,27
201,001289.SZ,龙源电力,39.98287692551147,49.97859615688933,0,51.57082417443911,54.857138156057744,45.22891815019703,38,9,0,29
202,600482.SH,中国动力,39.97705566182351,49.97131957727939,0,43.24142197683128,65.29269021887977,50.02435019689209,52,46,1,5
203,300427.SZ,红相股份,39.971601617572546,49.96450202196568,0,51.57082417443911,52.57560702768755,46.352193027642315,38,12,0,26
204,601233.SH,桐昆股份,39.96939993687255,49.961749921090686,0,51.66184241133845,43.14871988272907,51.6549756610855,43,25,1,17
205,300750.SZ,宁德时代,39.96654973944065,49.95818717430081,0,47.6821801305261,54.791124882474485,49.71241825599157,40,10,1,29
206,300690.SZ,双一科技,39.96172880528988,49.95216100661234,0,54.89888478663016,45.982465160049,46.08561059308276,48,30,3,15
207,01083.HK,TG SMART ENERGY,39.94024543042961,49.92530678803701,0,51.57082417443911,47.04144807043,49.496182068876976,38,4,0,34
208,600875.SH,东方电气,39.93598036873558,49.91997546091947,0,51.57082417443911,49.39252207881288,48.26591658634335,38,6,0,32
209,002534.SZ,西子洁能,39.90047459876568,49.8755932484571,0,51.96786433890044,48.847017368905384,48.32872289304565,39,19,1,19
210,300069.SZ,金利华电,39.90023909158502,49.87529886448127,0,51.57082417443911,53.43313881846019,46.04651053785613,38,9,0,29
211,300763.SZ,锦浪科技,39.89252046748766,49.865650584359564,0,51.57082417443911,49.29623266972836,48.504596831103164,39,16,0,23
212,300880.SZ,迦南智能,39.889381609077105,49.861727011346375,0,52.337968706283334,52.92717305999073,45.78489103086489,40,28,0,12
