stock_code,company_name,exchange,current_sub_industry,snapshot_industry,entity_id,industry_status,entity_status,priority,next_action,snapshot_source_url,snapshot_as_of_date
03899.HK,CIMC ENRIC,HKEX,历史能源样本待复核,待分类,03899.HK,pending_evidence,security_id_only,1,collect_hkex_industry_and_chinese_name_evidence,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
06828.HK,BG BLUE SKY,HKEX,历史能源样本待复核,待分类,06828.HK,pending_evidence,security_id_only,1,collect_hkex_industry_and_chinese_name_evidence,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
06885.HK,JINMA ENERGY,HKEX,历史能源样本待复核,待分类,06885.HK,pending_evidence,security_id_only,1,collect_hkex_industry_and_chinese_name_evidence,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
08132.HK,CENTURY EN INTL,HKEX,历史能源样本待复核,待分类,08132.HK,pending_evidence,security_id_only,1,collect_hkex_industry_and_chinese_name_evidence,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
08270.HK,CHINA CBM,HKEX,历史能源样本待复核,待分类,08270.HK,pending_evidence,security_id_only,1,collect_hkex_industry_and_chinese_name_evidence,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
08347.HK,F8 ENT,HKEX,历史能源样本待复核,待分类,08347.HK,pending_evidence,security_id_only,1,collect_hkex_industry_and_chinese_name_evidence,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
08536.HK,TL NATURAL GAS,HKEX,历史能源样本待复核,待分类,08536.HK,pending_evidence,security_id_only,1,collect_hkex_industry_and_chinese_name_evidence,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
08631.HK,SUN KONG HLDGS,HKEX,历史能源样本待复核,待分类,08631.HK,pending_evidence,security_id_only,1,collect_hkex_industry_and_chinese_name_evidence,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
09689.HK,JTF INTL,HKEX,历史能源样本待复核,待分类,09689.HK,pending_evidence,security_id_only,1,collect_hkex_industry_and_chinese_name_evidence,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
920010.BJ,凯添燃气,BSE,历史能源样本待复核,燃气生产和供应业,920010.BJ,pending_evidence,security_id_only,2,review_energy_sub_industry_evidence,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920046.BJ,亿能电力,BSE,历史能源样本待复核,电气机械和器材制造业,920046.BJ,pending_evidence,security_id_only,2,review_energy_sub_industry_evidence,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920062.BJ,科润智控,BSE,历史能源样本待复核,电气机械和器材制造业,920062.BJ,pending_evidence,security_id_only,2,review_energy_sub_industry_evidence,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920110.BJ,雷特科技,BSE,历史能源样本待复核,计算机、通信和其他电子设备制造业,920110.BJ,pending_evidence,security_id_only,2,review_energy_sub_industry_evidence,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920152.BJ,昆工科技,BSE,历史能源样本待复核,专用设备制造业,920152.BJ,pending_evidence,security_id_only,2,review_energy_sub_industry_evidence,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920167.BJ,同享科技,BSE,历史能源样本待复核,电气机械和器材制造业,920167.BJ,pending_evidence,security_id_only,2,review_energy_sub_industry_evidence,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920185.BJ,贝特瑞,BSE,历史能源样本待复核,计算机、通信和其他电子设备制造业,920185.BJ,pending_evidence,security_id_only,2,review_energy_sub_industry_evidence,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920237.BJ,力佳科技,BSE,历史能源样本待复核,电气机械和器材制造业,920237.BJ,pending_evidence,security_id_only,2,review_energy_sub_industry_evidence,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920239.BJ,长虹能源,BSE,历史能源样本待复核,电气机械和器材制造业,920239.BJ,pending_evidence,security_id_only,2,review_energy_sub_industry_evidence,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920252.BJ,天宏锂电,BSE,历史能源样本待复核,电气机械和器材制造业,920252.BJ,pending_evidence,security_id_only,2,review_energy_sub_industry_evidence,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920299.BJ,灿能电力,BSE,历史能源样本待复核,仪器仪表制造业,920299.BJ,pending_evidence,security_id_only,2,review_energy_sub_industry_evidence,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920368.BJ,连城数控,BSE,历史能源样本待复核,专用设备制造业,920368.BJ,pending_evidence,security_id_only,2,review_energy_sub_industry_evidence,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920375.BJ,派诺科技,BSE,历史能源样本待复核,软件和信息技术服务业,920375.BJ,pending_evidence,security_id_only,2,review_energy_sub_industry_evidence,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920414.BJ,欧普泰,BSE,历史能源样本待复核,专用设备制造业,920414.BJ,pending_evidence,security_id_only,2,review_energy_sub_industry_evidence,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920496.BJ,许昌智能,BSE,历史能源样本待复核,电气机械和器材制造业,920496.BJ,pending_evidence,security_id_only,2,review_energy_sub_industry_evidence,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920522.BJ,纳科诺尔,BSE,历史能源样本待复核,专用设备制造业,920522.BJ,pending_evidence,security_id_only,2,review_energy_sub_industry_evidence,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920523.BJ,德瑞锂电,BSE,历史能源样本待复核,电气机械和器材制造业,920523.BJ,pending_evidence,security_id_only,2,review_energy_sub_industry_evidence,https://www.bse.cn/nq/listedcompany.html,2026-07-29
