thin_batch_rank,population_deficit,impact_rank,impact_score,best_rank,worst_rank,rank_span,crosses_top_n,boundary_risk,instability_risk,weight_risk,key_indicator_risk,population_scarcity_risk,indicator_population,neutral_vs_zero_total_score_delta,company_code,company_name,indicator_code,indicator_name,dimension,key_indicator,candidate_count,report_years,source_pages,max_confidence,status,next_action,priority
44,13,3086,66.711806,124,307,183,True,1.0,1.0,0.273333,0.0,0.987847,7,0.984,002276.SZ,万马股份,Q_E_ALTERNATIVE_WATER_RATE,再生水或其他替代水源占比,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
45,13,3087,66.711806,170,375,205,True,1.0,1.0,0.273333,0.0,0.987847,7,0.984,00228.HK,CHINA ENERGY,Q_E_ALTERNATIVE_WATER_RATE,再生水或其他替代水源占比,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
46,13,3088,66.711806,76,297,221,True,1.0,1.0,0.273333,0.0,0.987847,7,0.984,002335.SZ,科华数据,Q_E_ALTERNATIVE_WATER_RATE,再生水或其他替代水源占比,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
47,13,3089,66.711806,181,294,113,True,1.0,1.0,0.273333,0.0,0.987847,7,0.984,002452.SZ,长高电气,Q_E_ALTERNATIVE_WATER_RATE,再生水或其他替代水源占比,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
48,13,3090,66.711806,136,249,113,True,1.0,1.0,0.273333,0.0,0.987847,7,0.984,002479.SZ,富春环保,Q_E_ALTERNATIVE_WATER_RATE,再生水或其他替代水源占比,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
49,13,3091,66.711806,174,296,122,True,1.0,1.0,0.273333,0.0,0.987847,7,0.984,002487.SZ,大金重工,Q_E_ALTERNATIVE_WATER_RATE,再生水或其他替代水源占比,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
50,13,3092,66.711806,191,447,256,True,1.0,1.0,0.273333,0.0,0.987847,7,0.984,002506.SZ,协鑫集成,Q_E_ALTERNATIVE_WATER_RATE,再生水或其他替代水源占比,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
51,7,700,81.663194,67,231,164,True,1.0,1.0,0.275556,1.0,0.977431,13,0.992,00002.HK,CLP HOLDINGS,Q_E_SO2_INTENSITY,二氧化硫排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
52,7,701,81.663194,45,371,326,True,1.0,1.0,0.275556,1.0,0.977431,13,0.992,00003.HK,HK & CHINA GAS,Q_E_SO2_INTENSITY,二氧化硫排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
53,7,702,81.663194,51,449,398,True,1.0,1.0,0.275556,1.0,0.977431,13,0.992,00006.HK,POWER ASSETS,Q_E_SO2_INTENSITY,二氧化硫排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
54,7,703,81.663194,108,285,177,True,1.0,1.0,0.275556,1.0,0.977431,13,0.992,000096.SZ,广聚能源,Q_E_SO2_INTENSITY,二氧化硫排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
55,7,704,81.663194,171,399,228,True,1.0,1.0,0.275556,1.0,0.977431,13,0.992,000543.SZ,皖能电力,Q_E_SO2_INTENSITY,二氧化硫排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
