company_code,company_name,report_year,indicator_code,value,source,confidence
00006.HK,POWER ASSETS,2025,Q_G_DEBT_ASSET_RATE,53.2037440027,industry_filled,0.6
00006.HK,POWER ASSETS,2025,Q_G_QUICK_RATIO,116.836108816,industry_filled,0.6
00006.HK,POWER ASSETS,2025,Q_G_CASH_CURRENT_LIABILITY,21.4426529945,industry_filled,0.6
00006.HK,POWER ASSETS,2025,Q_G_OPERATING_PROFIT_GROWTH,29.8168341886,industry_filled,0.6
00006.HK,POWER ASSETS,2025,Q_G_CAPITAL_ACCUMULATION,6.35081026189,industry_filled,0.6
000096.SZ,广聚能源,2025,Q_G_REVENUE_GROWTH,-30.9060068687,extracted,0.9
000096.SZ,广聚能源,2025,Q_G_REVENUE,7.0,extracted,0.9
000096.SZ,广聚能源,2025,Q_G_ROE,4.14,extracted,0.9
000096.SZ,广聚能源,2025,Q_S_RD_RATE,67.0,extracted,0.9
000096.SZ,广聚能源,2025,Q_S_DIVIDEND_PER_SHARE,0.075,extracted,0.9
000096.SZ,广聚能源,2025,Q_S_PAY_PER_EMPLOYEE,16.7181863314,extracted,0.9
000096.SZ,广聚能源,2025,Q_G_DEBT_ASSET_RATE,25.3628380353,extracted,0.9
000096.SZ,广聚能源,2025,Q_G_ASSET_TURNOVER,0.408285504365,extracted,0.9
000096.SZ,广聚能源,2025,Q_G_CURRENT_ASSET_TURNOVER,0.996879804915,extracted,0.9
000096.SZ,广聚能源,2025,Q_G_AR_TURNOVER,41.5456649209,extracted,0.9
000096.SZ,广聚能源,2025,Q_G_TWO_FUNDS_RATE,3.28850153125,extracted,0.9
000096.SZ,广聚能源,2025,Q_G_QUICK_RATIO,153.923201072,extracted,0.9
000096.SZ,广聚能源,2025,Q_G_CAPITAL_ACCUMULATION,-2.12222624267,extracted,0.9
000096.SZ,广聚能源,2025,Q_G_OPERATING_MARGIN,10.3220282727,extracted,0.9
000096.SZ,广聚能源,2025,Q_G_OPERATING_PROFIT_GROWTH,10.4287168703,extracted,0.9
000096.SZ,广聚能源,2025,Q_G_COST_REVENUE_RATE,94.4887476437,extracted,0.9
000096.SZ,广聚能源,2025,Q_G_CASH_REALIZATION,145.989720752,extracted,0.9
000096.SZ,广聚能源,2025,Q_G_CASH_CURRENT_LIABILITY,-4.56321750482,extracted,0.9
000096.SZ,广聚能源,2025,Q_G_EBITDA_INTEREST,109.217983768,extracted,0.9
000096.SZ,广聚能源,2025,Q_G_ROA,4.23506085824,extracted,0.9
000096.SZ,广聚能源,2025,Q_G_EBITDA_MARGIN,11.7301170507,extracted,0.9
000096.SZ,广聚能源,2025,Q_S_BENEFIT_PER_EMPLOYEE,3.66413351009,extracted,0.9
000096.SZ,广聚能源,2025,Q_S_EDU_PER_EMPLOYEE,0.126115149856,extracted,0.9
000096.SZ,广聚能源,2025,Q_E_GHG_INTENSITY,96.0,industry_filled,0.6
000096.SZ,广聚能源,2025,Q_E_GHG_REDUCTION_RATE,13.6783156641,industry_filled,0.6
000096.SZ,广聚能源,2025,Q_E_ENERGY_INTENSITY,84.0,industry_filled,0.6
000096.SZ,广聚能源,2025,Q_E_CLEAN_ENERGY_INTENSITY,60.0,industry_filled,0.6
000096.SZ,广聚能源,2025,Q_E_NOX_INTENSITY,46.8914518705,industry_filled,0.6
000096.SZ,广聚能源,2025,Q_E_SO2_INTENSITY,88.6712070065,industry_filled,0.6
000096.SZ,广聚能源,2025,Q_E_PM_INTENSITY,11.6011859525,industry_filled,0.6
000096.SZ,广聚能源,2025,Q_E_WASTEWATER_INTENSITY,134.102018567,industry_filled,0.6
000096.SZ,广聚能源,2025,Q_E_WATER_INTENSITY,124.0,industry_filled,0.6
