company_code,company_name,report_year,document_type,source_url
002121.SZ,科陆电子,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-21/ed93f917-25f8-48f9-ab61-42295b09cb1f.PDF
002125.SZ,湘潭电化,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-25/9814767f-89f7-43fb-8dcd-d31745ba9093.PDF
002128.SZ,电投能源,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-15/3355aa03-a913-46f0-bfb2-14e9d92c7283.PDF
002128.SZ,电投能源,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-15/3fd3da22-8fdb-4e3d-9b45-e4556ab73377.PDF
002129.SZ,TCL中环,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-25/8f0198a5-861c-4515-acfd-adc1f573d502.PDF
002129.SZ,TCL中环,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-25/6a9e6b34-5cb2-4444-a69b-ffc53731bfbf.PDF
002169.SZ,智光电气,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-15/739e0342-3fa4-46b6-95af-7067be4980c4.PDF
002196.SZ,方正电机,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-15/a456e582-fc19-4d59-8b58-e99ef54d92d5.PDF
002202.SZ,金风科技,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-28/7c7c2787-dabb-4ae2-8802-72b5b47a462a.PDF
002202.SZ,金风科技,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-28/ae7c64ee-35d0-4a13-9b80-34c50e1c3254.PDF
002218.SZ,拓日新能,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-23/d241f8a1-28ab-41f5-b48e-bd130c85cc84.PDF
002221.SZ,东华能源,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-29/ba4f5e7f-c222-4b3d-a472-0235e3269623.PDF
002245.SZ,蔚蓝锂芯,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-14/f2df9f6e-7c03-4781-93df-51c9a7e0d2da.PDF
002245.SZ,蔚蓝锂芯,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-14/031edb73-92c6-4428-8803-cf916537ff83.PDF
002249.SZ,大洋电机,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-24/1fc38dbb-a7f8-4434-ae5c-aee14648d4a2.PDF
002255.SZ,海陆重工,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-28/c8b0aa4f-b20e-4f7b-bf2a-d18f555a44f9.PDF
002259.SZ,升达林业,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-15/4d6f83d6-74b7-443b-afd6-804de9cfe00d.PDF
002267.SZ,陕天然气,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-28/a57a38df-881c-4609-b9f0-b3944a2ab170.PDF
002267.SZ,陕天然气,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-28/0825c9f9-0fff-4eba-844a-9f3000fb520a.PDF
002270.SZ,华明装备,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-02-27/47d249dd-be14-44f2-9261-0cf1708f32db.PDF
002276.SZ,万马股份,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-23/a33f650e-46b9-4ed5-a58a-79e77f2f5592.PDF
00228.HK,CHINA ENERGY,2024,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0430/2025043000603.pdf
00228.HK,CHINA ENERGY,2024,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0430/2025043003628.pdf
00228.HK,CHINA ENERGY,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0429/2026042902276.pdf
00228.HK,CHINA ENERGY,2025,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0429/2026042902658.pdf
002300.SZ,太阳电缆,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-10/b39d04a8-fc3d-48eb-8961-559d9ecdf35b.PDF
002300.SZ,太阳电缆,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-10/4f158c4a-ba06-45c1-86dc-2b8dda170925.PDF
002309.SZ,中利集团,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-25/dd120446-927f-4cfa-9751-d1ad3a6f504d.PDF
002335.SZ,科华数据,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-27/ca319cfc-8b2d-47a0-b519-d422aed39d46.PDF
002339.SZ,积成电子,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-24/ce18e64d-c3ca-41a8-9efc-266b9a94bccc.PDF
002340.SZ,格林美,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-22/b4675097-7e47-4cc6-898b-281ace34ff8f.PDF
002340.SZ,格林美,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-22/93f3667c-ac16-408f-8b9b-1c4ee717e477.PDF
002346.SZ,柘中股份,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-29/cb42deea-b6ed-4e79-9dee-3c41bb578c79.PDF
002350.SZ,北京科锐,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-29/1a9512d7-e08f-4e67-acbd-8076e88ce903.PDF
002350.SZ,北京科锐,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-29/10182db2-73fe-4b97-813f-1cdf9608b746.PDF
002358.SZ,森源电气,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-29/1a2d55d7-3411-490f-9bc1-873b435827a8.PDF
002364.SZ,中恒电气,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-21/d0543cb8-6de6-4606-9add-49a587d32b30.PDF
002366.SZ,融发核电,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-25/72e9b43b-d6a0-4207-899f-61221180fb4e.PDF
002441.SZ,众业达,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-18/624c799e-37c4-4078-99e7-11d97fcd6979.PDF
002441.SZ,众业达,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-18/7b3bf95a-ae4a-4c12-8baf-b48ad7525844.PDF
002451.SZ,摩恩电气,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-30/a37b075e-8c98-4835-9ecb-decb72feba74.PDF
002452.SZ,长高电新,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-27/8394b347-a51f-43a9-b0bd-3a8cc0d14839.PDF
002459.SZ,晶澳科技,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-29/a57bca74-1249-448c-bac4-ac61901740f1.PDF
002459.SZ,晶澳科技,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-06-27/02ab0b14-3199-4345-b062-aad38cbd48de.pdf
002459.SZ,晶澳科技,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-29/4047f072-230c-4aec-b4b8-ae5e6c23ed92.PDF
002471.SZ,中超控股,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-31/ad27dfda-eebe-41ac-9525-3986e37f8d27.PDF
002479.SZ,富春环保,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-15/3cce9fc8-99a1-4baf-8427-45389448583c.PDF
002479.SZ,富春环保,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-15/17203463-9e86-4f69-9b66-0ad097285d31.PDF
002487.SZ,大金重工,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-06/6aa612fb-1857-49fb-80ae-34252bd385b7.PDF
002487.SZ,大金重工,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-28/629c19b9-8e8d-4eaf-b7ac-a6f5d823c277.PDF
