stock_code,universe_name,snapshot_name,included,status,source_action,date_action,entity_action,reason
605090.SH,九丰能源,九丰能源,True,matched,filled,filled,preserved,证券代码及名称匹配
08536.HK,TL NATURAL GAS,TL NATURAL GAS,True,matched,filled,filled,preserved,证券代码及名称匹配
00968.HK,XINYI SOLAR,XINYI SOLAR,True,matched,filled,filled,preserved,证券代码及名称匹配
600780.SH,XD通宝能,XD通宝能,True,matched,filled,filled,preserved,证券代码及名称匹配
688226.SH,威腾电气,威腾电气,True,matched,filled,filled,preserved,证券代码及名称匹配
01229.HK,NAN NAN RES,NAN NAN RES,True,matched,filled,filled,preserved,证券代码及名称匹配
002490.SZ,山东墨龙,山东墨龙,True,matched,filled,filled,preserved,证券代码及名称匹配
600023.SH,浙能电力,浙能电力,True,matched,filled,filled,preserved,证券代码及名称匹配
601311.SH,骆驼股份,骆驼股份,True,matched,filled,filled,preserved,证券代码及名称匹配
00600.HK,AXERA,AXERA,True,matched,filled,filled,preserved,证券代码及名称匹配
600452.SH,涪陵电力,涪陵电力,True,matched,filled,filled,preserved,证券代码及名称匹配
00931.HK,CHINA HK POWER,CHINA HK POWER,True,matched,filled,filled,preserved,证券代码及名称匹配
601865.SH,福莱特,福莱特,True,matched,filled,filled,preserved,证券代码及名称匹配
000720.SZ,新能泰山,新能泰山,True,matched,filled,filled,preserved,证券代码及名称匹配
600642.SH,申能股份,申能股份,True,matched,filled,filled,preserved,证券代码及名称匹配
300568.SZ,星源材质,星源材质,True,matched,filled,filled,preserved,证券代码及名称匹配
688408.SH,中信博,中信博,True,matched,filled,filled,preserved,证券代码及名称匹配
002801.SZ,微光股份,微光股份,True,matched,filled,filled,preserved,证券代码及名称匹配
600580.SH,卧龙电驱,卧龙电驱,True,matched,filled,filled,preserved,证券代码及名称匹配
603318.SH,水发燃气,水发燃气,True,matched,filled,filled,preserved,证券代码及名称匹配
688499.SH,利元亨,利元亨,True,matched,filled,filled,preserved,证券代码及名称匹配
600674.SH,川投能源,川投能源,True,matched,filled,filled,preserved,证券代码及名称匹配
603053.SH,成都燃气,成都燃气,True,matched,filled,filled,preserved,证券代码及名称匹配
605028.SH,世茂能源,世茂能源,True,matched,filled,filled,preserved,证券代码及名称匹配
