company_code,company_name,official_domain,candidate_url,source_channel,evidence_file,evidence_snippet,evidence_count,verification_status,next_action
002801.SZ,微光股份,wgmotor.com,https://wgmotor.com/,document_text_website_field,data/text/ci_collection/002801.SZ/2025/annual_report.txt,公司网址 www.wgmotor.com,3,candidate_unverified_gap_fill,人工核验后写入官网域名审核批次
002812.SZ,恩捷股份,semcorp.com,https://semcorp.com/,document_text_website_field,data/text/002812.SZ/2025/annual_report.txt,公司网址 www.semcorp.com,2,candidate_unverified_gap_fill,人工核验后写入官网域名审核批次
002851.SZ,麦格米特,megmeet.com,https://megmeet.com/,document_text_website_field,data/text/ci_collection/002851.SZ/2025/annual_report.txt,公司网址 www.megmeet.com,2,candidate_unverified_gap_fill,人工核验后写入官网域名审核批次
002892.SZ,科力尔,kelimotor.com,https://kelimotor.com/,document_text_website_field,data/text/ci_collection/002892.SZ/2025/annual_report.txt,公司网址 www.kelimotor.com,2,candidate_unverified_gap_fill,人工核验后写入官网域名审核批次
002927.SZ,泰永长征,tyt.net,https://tyt.net/,document_text_website_field,data/text/ci_collection/002927.SZ/2025/annual_report.txt,公司网址 www.tyt.net,3,candidate_unverified_gap_fill,人工核验后写入官网域名审核批次
00295.HK,KONG SUN HOLD,kongsun.com,https://kongsun.com/,document_text_url,data/text/hkex_reports/00295.HK/2025/annual_report.txt,www.kongsun.com,3,candidate_unverified_gap_fill,人工核验后写入官网域名审核批次
003021.SZ,兆威机电,szzhaowei.net,https://szzhaowei.net/,document_text_website_field,data/text/ci_collection/003021.SZ/2025/annual_report.txt,公司网址 www.szzhaowei.net,2,candidate_unverified_gap_fill,人工核验后写入官网域名审核批次
003035.SZ,南网能源,csg.cn,https://csg.cn/,document_text_website_field,data/text/ci_collection/003035.SZ/2025/annual_report.txt,公司网址 ny.csg.cn,2,candidate_unverified_gap_fill,人工核验后写入官网域名审核批次
00346.HK,YANCHANG PETRO,yanchanginternational.com,https://yanchanginternational.com/,document_text_url,data/text/hkex_reports/00346.HK/2025/annual_report.txt,www.yanchanginternational.com,6,candidate_unverified_gap_fill,人工核验后写入官网域名审核批次
003816.SZ,中国广核,cgnp.com.cn,https://cgnp.com.cn/,document_text_website_field,data/text/003816.SZ/2025/annual_report.txt,公司网址 www.cgnp.com.cn,2,candidate_unverified_gap_fill,人工核验后写入官网域名审核批次
