company_code,company_name,indicator_code,in_v23_obs,direct_extract,derived_now,text_signal,has_revenue_signal,doc_count,text_chars,failure_reason,extract_values
01072.HK,01072.HK,Q_E_SOLID_WASTE_INTENSITY,False,False,False,False,False,0,0,no_text_signal,
01072.HK,01072.HK,Q_S_SAFETY_INVEST_RATE,False,False,False,False,False,0,0,no_text_signal,
601857.SH,中国石油,Q_E_GHG_INTENSITY,False,False,False,True,True,2,373798,text_signal_but_rules_miss,
601857.SH,中国石油,Q_E_ENERGY_INTENSITY,False,False,False,True,True,2,373798,text_signal_but_rules_miss,
601857.SH,中国石油,Q_E_NOX_INTENSITY,False,False,False,True,True,2,373798,text_signal_but_rules_miss,
601857.SH,中国石油,Q_E_SO2_INTENSITY,False,False,False,True,True,2,373798,text_signal_but_rules_miss,
601857.SH,中国石油,Q_E_WATER_INTENSITY,False,False,False,True,True,2,373798,text_signal_but_rules_miss,
601857.SH,中国石油,Q_E_SOLID_WASTE_INTENSITY,False,False,False,True,True,2,373798,text_signal_but_rules_miss,
601857.SH,中国石油,Q_S_SAFETY_INVEST_RATE,False,False,False,False,True,2,373798,no_text_signal,
600028.SH,中国石化,Q_E_GHG_INTENSITY,True,True,False,True,True,2,427222,ok_confirmed,600.8;600.8
600028.SH,中国石化,Q_E_ENERGY_INTENSITY,False,False,False,True,True,2,427222,text_signal_but_rules_miss,
600028.SH,中国石化,Q_E_NOX_INTENSITY,True,False,True,True,True,2,427222,ok_confirmed,
600028.SH,中国石化,Q_E_SO2_INTENSITY,True,False,True,True,True,2,427222,ok_confirmed,
600028.SH,中国石化,Q_E_WATER_INTENSITY,False,False,False,True,True,2,427222,text_signal_but_rules_miss,
600028.SH,中国石化,Q_E_SOLID_WASTE_INTENSITY,False,False,False,True,True,2,427222,text_signal_but_rules_miss,
600028.SH,中国石化,Q_S_SAFETY_INVEST_RATE,False,False,False,True,True,2,427222,text_signal_but_rules_miss,
601088.SH,中国神华,Q_E_GHG_INTENSITY,False,False,False,True,True,2,374782,text_signal_but_rules_miss,
601088.SH,中国神华,Q_E_ENERGY_INTENSITY,False,False,False,True,True,2,374782,text_signal_but_rules_miss,
601088.SH,中国神华,Q_E_NOX_INTENSITY,False,False,False,True,True,2,374782,text_signal_but_rules_miss,
601088.SH,中国神华,Q_E_SO2_INTENSITY,False,False,False,True,True,2,374782,text_signal_but_rules_miss,
601088.SH,中国神华,Q_E_WATER_INTENSITY,False,False,False,True,True,2,374782,text_signal_but_rules_miss,
601088.SH,中国神华,Q_E_SOLID_WASTE_INTENSITY,False,False,False,True,True,2,374782,text_signal_but_rules_miss,
601088.SH,中国神华,Q_S_SAFETY_INVEST_RATE,True,False,True,True,True,2,374782,ok_confirmed,
