impact_rank,impact_score,best_rank,worst_rank,rank_span,crosses_top_n,boundary_risk,instability_risk,weight_risk,missing_esg_document,esg_status,company_code,company_name,report_year,indicator_code,indicator_name,indicator_weight,priority,status,next_action
114,89.313725,201,347,146,False,0.980392,1.0,1.0,False,embedded_in_annual,603988.SH,中电电机,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
115,89.1,175,272,97,True,1.0,0.97,1.0,False,embedded_in_annual,601669.SH,中国电建,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
116,88.653846,202,415,213,False,0.961538,1.0,1.0,False,embedded_in_annual,001208.SZ,华菱线缆,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
117,88.653846,202,425,223,False,0.961538,1.0,1.0,False,embedded_in_annual,002801.SZ,微光股份,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
118,88.5,115,210,95,True,1.0,0.95,1.0,False,embedded_in_annual,002249.SZ,大洋电机,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
119,88.018868,203,456,253,False,0.943396,1.0,1.0,False,embedded_in_annual,920239.BJ,长虹能源,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
120,87.6,192,284,92,True,1.0,0.92,1.0,False,embedded_in_annual,603312.SH,西典新能,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
121,87.418868,203,301,98,False,0.943396,0.98,1.0,False,embedded_in_annual,600884.SH,杉杉股份,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
122,87.407407,204,378,174,False,0.925926,1.0,1.0,False,embedded_in_annual,300853.SZ,申昊科技,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
123,86.7,147,236,89,True,1.0,0.89,1.0,False,embedded_in_annual,688516.SH,奥特维,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
124,86.4,173,261,88,True,1.0,0.88,1.0,False,embedded_in_annual,600475.SH,华光环能,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
125,86.1,169,256,87,True,1.0,0.87,1.0,False,embedded_in_annual,300514.SZ,友讯达,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
126,85.8,167,253,86,True,1.0,0.86,1.0,False,embedded_in_annual,688191.SH,智洋创新,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
127,85.701754,207,476,269,False,0.877193,1.0,1.0,False,embedded_in_annual,00600.HK,AXERA,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
128,85.701754,207,307,100,False,0.877193,1.0,1.0,False,embedded_in_annual,600379.SH,宝光股份,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
129,85.2,132,216,84,True,1.0,0.84,1.0,False,collected,600256.SH,广汇能源,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
130,85.172414,208,373,165,False,0.862069,1.0,1.0,False,embedded_in_annual,603318.SH,水发燃气,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
131,84.9,134,217,83,True,1.0,0.83,1.0,False,embedded_in_annual,600577.SH,精达股份,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
132,84.6,162,244,82,True,1.0,0.82,1.0,False,embedded_in_annual,600116.SH,三峡水利,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
133,84.6,146,228,82,True,1.0,0.82,1.0,False,embedded_in_annual,605368.SH,蓝天燃气,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
134,84.166667,210,477,267,False,0.833333,1.0,1.0,False,embedded_in_annual,300490.SZ,华自科技,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
135,84.0,133,213,80,True,1.0,0.8,1.0,False,embedded_in_annual,600580.SH,卧龙电驱,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
