company_code,company_name,best_rank,worst_rank,rank_span,score_span,disclosure_rate,credibility_grade,stability_priority_score,next_action
301388.SZ,欣灵电气,103,275,172,32.4,25.0,D,86.0,优先补证并复核缺失策略敏感性
688599.SH,天合光能,194,366,172,34.46,20.0,D,86.0,优先补证并复核缺失策略敏感性
688733.SH,壹石通,175,347,172,34.08,22.5,D,86.0,优先补证并复核缺失策略敏感性
920185.BJ,贝特瑞,255,427,172,44.96,7.5,D,86.0,优先补证并复核缺失策略敏感性
601877.SH,正泰电器,15,186,171,27.03,30.0,D,85.5,优先补证并复核缺失策略敏感性
605162.SH,新中港,36,207,171,30.32,26.25,D,85.5,优先补证并复核缺失策略敏感性
301168.SZ,通灵股份,142,312,170,33.24,23.75,D,85.0,优先补证并复核缺失策略敏感性
600212.SH,绿能慧充,272,442,170,45.16,6.25,D,85.0,优先补证并复核缺失策略敏感性
688707.SH,振华新材,179,349,170,34.16,22.5,D,85.0,优先补证并复核缺失策略敏感性
002986.SZ,宇新股份,254,423,169,44.88,7.5,D,84.5,优先补证并复核缺失策略敏感性
300140.SZ,节能环境,255,424,169,44.88,7.5,D,84.5,优先补证并复核缺失策略敏感性
301487.SZ,盟固利,306,475,169,38.44,16.25,D,84.5,优先补证并复核缺失策略敏感性
001289.SZ,龙源电力,289,457,168,45.44,6.25,D,84.0,优先补证并复核缺失策略敏感性
300690.SZ,双一科技,277,445,168,37.24,17.5,D,84.0,优先补证并复核缺失策略敏感性
601012.SH,隆基绿能,140,308,168,33.24,23.75,D,84.0,优先补证并复核缺失策略敏感性
603393.SH,新天然气,52,220,168,39.39,16.25,D,84.0,优先补证并复核缺失策略敏感性
000421.SZ,南京公用,336,502,166,46.56,5.0,D,83.0,优先补证并复核缺失策略敏感性
002028.SZ,思源电气,217,383,166,43.92,8.75,D,83.0,优先补证并复核缺失策略敏感性
300907.SZ,康平科技,286,452,166,45.36,6.25,D,83.0,优先补证并复核缺失策略敏感性
301150.SZ,中一科技,259,425,166,36.32,18.75,D,83.0,优先补证并复核缺失策略敏感性
301155.SZ,海力风电,247,413,166,44.52,7.5,D,83.0,优先补证并复核缺失策略敏感性
603819.SH,神力股份,154,320,166,33.52,22.5,D,83.0,优先补证并复核缺失策略敏感性
688560.SH,明冠新材,374,539,165,36.68,18.75,D,82.5,优先补证并复核缺失策略敏感性
000591.SZ,太阳能,297,461,164,45.44,6.25,D,82.0,优先补证并复核缺失策略敏感性
601222.SH,林洋能源,151,315,164,33.52,22.5,D,82.0,优先补证并复核缺失策略敏感性
