序号,证券代码,公司简称,数值类别,披露率%,定量分,定性分,温室气体排放强度,综合能源消耗强度,氮氧化物排放强度,二氧化硫排放强度,水资源使用强度,一般固体废物排放强度,安全生产投入占比,研发费用占比,现金分红,资产负债率,可持续发展(ESG)分值
280,300080.SZ,易成新能,指标数值,41.25,18.92,20.08,,,,,,,,4.16,,63.05,19.15
280,300080.SZ,易成新能,指标分值,,,,,,,,,,,1.3909,,2.3455,
281,000723.SZ,美锦能源,指标数值,40.0,19.73,16.62,,,,,,,,0.33,,65.15,19.11
281,000723.SZ,美锦能源,指标分值,,,,,,,,,,,0.4397,,2.1891,
281,688598.SH,金博股份,指标数值,37.5,19.03,19.44,,,,,,,,17.21,,16.99,19.11
281,688598.SH,金博股份,指标分值,,,,,,,,,,,2.9978,,0.6176,
282,300693.SZ,盛弘股份,指标数值,28.75,19.23,18.44,,,,,,,,8.28,0.5,47.8,19.07
282,300693.SZ,盛弘股份,指标分值,,,,,,,,,,,2.4803,2.6667,2.7562,
283,603026.SH,石大胜华,指标数值,35.0,20.44,13.4,,,,,,,,3.98,,53.3754,19.04
283,603026.SH,石大胜华,指标分值,,,,,,,,,,,1.3373,,2.7846,
284,600152.SH,维科技术,指标数值,31.25,20.58,12.73,,,,,,,,8.34,,43.1,19.01
284,600152.SH,维科技术,指标分值,,,,,,,,,,,2.4917,,2.5683,
285,01733.HK,E-COMMODITIES,指标数值,55.0,9.89,55.38,,,,,,,,,,,18.99
285,01733.HK,E-COMMODITIES,指标分值,,,,,,,,,,,,,,
286,00632.HK,CHK OIL,指标数值,40.0,16.45,28.87,3.1,,,,113.2,0.1071,,,,,18.93
286,00632.HK,CHK OIL,指标分值,,,,6.1006,,,,1.4201,2.5869,,,,,
287,002606.SZ,大连电瓷,指标数值,37.5,15.95,30.52,,,,,,,,5.1,0.038,40.25,18.86
287,002606.SZ,大连电瓷,指标分值,,,,,,,,,,,1.6721,0.7047,2.3935,
288,688408.SH,中信博,指标数值,40.0,17.81,22.85,,,,,,,,2.4,,59.91,18.82
288,688408.SH,中信博,指标分值,,,,,,,,,,,0.8916,,2.546,
289,601016.SH,节能风电,指标数值,36.25,17.56,23.78,,,,,,,,0.55,0.0382,58.9087,18.8
289,601016.SH,节能风电,指标分值,,,,,,,,,,,0.4788,0.7054,2.5996,
290,300763.SZ,锦浪科技,指标数值,32.5,18.81,18.39,,,,,,,,7.3,0.2,70,18.73
290,300763.SZ,锦浪科技,指标分值,,,,,,,,,,,2.2701,1.4506,1.7876,
291,601616.SH,广电电气,指标数值,37.5,18.58,19.24,,,,,,,,6.82,,15.3749,18.71
291,601616.SH,广电电气,指标分值,,,,,,,,,,,2.1525,,0.5339,
292,600151.SH,航天机电,指标数值,32.5,19.9,13.73,,,,,,,,3.9,,32.388,18.66
292,600151.SH,航天机电,指标分值,,,,,,,,,,,1.3135,,1.7688,
293,002531.SZ,天顺风能,指标数值,50.0,11.64,46.55,,,,,,,,5.47,,63.8329,18.62
293,002531.SZ,天顺风能,指标分值,,,,,,,,,,,1.7811,,2.2889,
294,01277.HK,KINETIC DEV,指标数值,50.0,13.9,37.42,,,24.5784,23.7849,,,,,,,18.61
294,01277.HK,KINETIC DEV,指标分值,,,,,,1.8495,1.9296,,,,,,,
295,600758.SH,辽宁能源,指标数值,31.25,20.29,11.85,,,,,,,,,0,59.1431,18.6
295,600758.SH,辽宁能源,指标分值,,,,,,,,,,,,0.5661,2.5876,
296,00686.HK,BJ ENERGY INTL,指标数值,58.75,9.35,55.37,,,,,,,,,,72.0947,18.55
296,00686.HK,BJ ENERGY INTL,指标分值,,,,,,,,,,,,,1.6075,
297,601700.SH,风范股份,指标数值,37.5,19.2,15.73,,,,,,,,3,,68.04,18.51
297,601700.SH,风范股份,指标分值,,,,,,,,,,,1.0536,,1.9543,
298,000537.SZ,绿发电力,指标数值,33.75,16.04,28.33,,,,,,,,0.06,0.12,73.81,18.5
298,000537.SZ,绿发电力,指标分值,,,,,,,,,,,0.3947,1.0583,1.4613,
299,301023.SZ,奕帆传动,指标数值,35.0,19.92,12.46,,,,,,,,6.21,0.2,11.4672,18.43
299,301023.SZ,奕帆传动,指标分值,,,,,,,,,,,1.9911,1.4506,0.3651,
300,01193.HK,CHINA RES GAS,指标数值,51.25,9.13,55.46,,,,,,,,,,,18.4
300,01193.HK,CHINA RES GAS,指标分值,,,,,,,,,,,,,,
301,600869.SH,远东股份,指标数值,32.5,19.81,12.6,,,,,,,,1.99,0.01,80.1718,18.37
301,600869.SH,远东股份,指标分值,,,,,,,,,,,0.7879,0.6008,0.9605,
302,03303.HK,JUTAL OIL SER,指标数值,47.5,12.95,39.91,,,,,,6.1,,,,,18.34
302,03303.HK,JUTAL OIL SER,指标分值,,,,,,,,,2.5786,,,,,
303,300713.SZ,英可瑞,指标数值,33.75,18.01,19.61,,,,,,,,16.34,,52.8274,18.33
303,300713.SZ,英可瑞,指标分值,,,,,,,,,,,2.9954,,2.7917,
304,09689.HK,JTF INTL,指标数值,45.0,13.35,38.12,,,,,,,,,,47.4048,18.3
304,09689.HK,JTF INTL,指标分值,,,,,,,,,,,,,2.7459,
305,300444.SZ,双杰电气,指标数值,35.0,18.42,17.68,,,,,,,,2.71,0.06,68.07,18.28
305,300444.SZ,双杰电气,指标分值,,,,,,,,,,,0.974,0.7928,1.9517,
306,000543.SZ,皖能电力,指标数值,50.0,10.65,48.57,14465.0797,4033.4713,,,,3364.1253,0.81,0.78,0.379,62.72,18.24
306,000543.SZ,皖能电力,指标分值,,,,0.0241,0.1674,,,,0.0061,1.14,0.522,2.285,2.3686,
307,002039.SZ,黔源电力,指标数值,22.5,19.03,14.93,,,,,,,,,0.39,48.85,18.21
307,002039.SZ,黔源电力,指标分值,,,,,,,,,,,,2.3273,2.7784,
307,002823.SZ,凯中精密,指标数值,33.75,17.8,19.81,,,,,,,,2.81,0.2443,42.911,18.21
307,002823.SZ,凯中精密,指标分值,,,,,,,,,,,1.0012,1.6729,2.5579,
307,06885.HK,JINMA ENERGY,指标数值,51.25,9.15,54.46,,2000,620,440,5410,,,,,,18.21
307,06885.HK,JINMA ENERGY,指标分值,,,,,1.5293,1.2986,1.2049,1.3935,,,,,,
307,301121.SZ,紫建电子,指标数值,32.5,18.0,19.04,,,,,,,,12.03,0,44.3531,18.21
307,301121.SZ,紫建电子,指标分值,,,,,,,,,,,2.9101,0.5661,2.6316,
308,300062.SZ,中能电气,指标数值,32.5,19.28,13.85,,,,,,,,4.41,,48.3,18.2
308,300062.SZ,中能电气,指标分值,,,,,,,,,,,1.4658,,2.7678,
