序号,证券代码,公司简称,数值类别,披露率%,定量分,定性分,温室气体排放强度,综合能源消耗强度,氮氧化物排放强度,二氧化硫排放强度,水资源使用强度,一般固体废物排放强度,安全生产投入占比,研发费用占比,现金分红,资产负债率,可持续发展(ESG)分值
333,01229.HK,NAN NAN RES,指标分值,,,,,,,,,,,,,2.3773,
334,000937.SZ,冀中能源,指标数值,33.75,17.99,11.7,,2250,,,10066.9914,,4.4716,3.28,0.1,59.54,16.74
334,000937.SZ,冀中能源,指标分值,,,,,1.2453,,,1.37,,2.4907,1.1327,0.9661,2.5665,
335,605378.SH,野马电池,指标数值,33.75,17.04,15.48,,,,,,,,3.14,0.15,15.41,16.73
335,605378.SH,野马电池,指标分值,,,,,,,,,,,1.0929,1.202,0.5356,
336,300153.SZ,科泰电源,指标数值,30.0,16.84,15.68,,,,,,,,3.08,0.07,64.566,16.61
336,300153.SZ,科泰电源,指标分值,,,,,,,,,,,1.076,0.8346,2.234,
337,688573.SH,信宇人,指标数值,40.0,14.16,26.09,,,,,,,,23.82,,82.053,16.55
337,688573.SH,信宇人,指标分值,,,,,,,,,,,3,,0.8317,
338,603489.SH,八方股份,指标数值,30.0,16.73,15.68,,,,,,,,4.34,0.15,16.7558,16.52
338,603489.SH,八方股份,指标分值,,,,,,,,,,,1.4448,1.202,0.6049,
339,600868.SH,梅雁吉祥,指标数值,28.75,16.7,15.55,,,,,,,,1.5,,33.2153,16.47
339,600868.SH,梅雁吉祥,指标分值,,,,,,,,,,,0.6727,,1.8397,
340,000966.SZ,长源电力,指标数值,35.0,15.29,21.08,,,,,,,,0.74,,66.8866,16.45
340,000966.SZ,长源电力,指标分值,,,,,,,,,,,0.5143,,2.0501,
341,300018.SZ,中元股份,指标数值,32.5,15.53,19.96,,,,,,,,10.47,0.1,17.7364,16.42
341,300018.SZ,中元股份,指标分值,,,,,,,,,,,2.7958,0.9661,0.6591,
342,300340.SZ,科恒股份,指标数值,40.0,14.8,22.49,,,,,,,,4.27,,99.3986,16.33
342,300340.SZ,科恒股份,指标分值,,,,,,,,,,,1.4238,,0.1437,
343,01940.HK,CGII HLDGS,指标数值,47.5,10.0,41.6,,,,,,,,5.3105,,,16.32
343,01940.HK,CGII HLDGS,指标分值,,,,,,,,,,,1.7344,,,
343,920496.BJ,许昌智能,指标数值,27.5,12.19,32.81,14.5,,,,,,,,,45.55,16.32
343,920496.BJ,许昌智能,指标分值,,,,6.0923,,,,,,,,,2.6835,
344,300129.SZ,泰胜风能,指标数值,30.0,14.88,21.61,,,,,1000,,,2.26,0.06,59.7513,16.23
344,300129.SZ,泰胜风能,指标分值,,,,,,,,1.4157,,,0.8555,0.7928,2.5549,
345,300037.SZ,新宙邦,指标数值,32.5,14.17,24.41,,,,,,,,5.57,0.5,43.16,16.22
345,300037.SZ,新宙邦,指标分值,,,,,,,,,,,1.8102,2.6667,2.5715,
346,601611.SH,中国核建,指标数值,31.25,16.8,13.85,,,,,,,,2.84,0.06,78.6299,16.21
346,601611.SH,中国核建,指标分值,,,,,,,,,,,1.0094,0.7928,1.0736,
347,000037.SZ,深南电A,指标数值,26.25,16.17,15.98,,,,,,,,4.25,0.032,65,16.13
347,000037.SZ,深南电A,指标分值,,,,,,,,,,,1.4178,0.6816,2.2007,
348,002580.SZ,圣阳股份,指标数值,31.25,14.68,21.83,,,,,,,,3.26,0.04,42.5037,16.11
348,002580.SZ,圣阳股份,指标分值,,,,,,,,,,,1.127,0.7125,2.535,
349,002015.SZ,协鑫能科,指标数值,31.25,14.66,21.78,,,,,23613.5355,,1.01,0.43,0.1,64.6793,16.08
349,002015.SZ,协鑫能科,指标分值,,,,,,,,1.3013,,1.2916,0.4572,0.9661,2.2254,
350,001208.SZ,华菱线缆,指标数值,25.0,15.27,19.28,,,,,,,,3.19,0.065,54.325,16.07
350,001208.SZ,华菱线缆,指标分值,,,,,,,,,,,1.1071,0.8135,2.7674,
351,603806.SH,福斯特,指标数值,32.5,17.24,11.0,,,,,,,,3.02,0.15,19.52,15.99
351,603806.SH,福斯特,指标分值,,,,,,,,,,,1.0592,1.202,0.7655,
352,688348.SH,昱能科技,指标数值,32.5,14.51,21.65,,,,,,,,10,,21.1297,15.94
352,688348.SH,昱能科技,指标分值,,,,,,,,,,,2.7452,,0.8701,
353,01878.HK,SOUTHGOBI,指标数值,42.5,9.33,42.29,,,,,,,,,,163.906,15.92
353,01878.HK,SOUTHGOBI,指标分值,,,,,,,,,,,,,0,
354,000593.SZ,德龙汇能,指标数值,27.5,16.07,14.88,,,,,,,,0.02,,49.9826,15.83
354,000593.SZ,德龙汇能,指标分值,,,,,,,,,,,0.3884,,2.7937,
355,301456.SZ,盘古智能,指标数值,35.0,14.77,20.01,,,,,,,,6.32,0.2,11.0822,15.82
355,301456.SZ,盘古智能,指标分值,,,,,,,,,,,2.0211,1.4506,0.3509,
356,600478.SH,科力远,指标数值,25.0,16.72,12.18,,,,,,,,1.57,,72.82,15.81
356,600478.SH,科力远,指标分值,,,,,,,,,,,0.6885,,1.5454,
356,603212.SH,赛伍技术,指标数值,32.5,15.33,17.7,,,,,,,,3.98,,39.16,15.81
356,603212.SH,赛伍技术,指标分值,,,,,,,,,,,1.3373,,2.3171,
357,001283.SZ,豪鹏科技,指标数值,26.25,15.39,17.38,,,,,,,,5.83,0.38,58.94,15.79
357,001283.SZ,豪鹏科技,指标分值,,,,,,,,,,,1.8848,2.2889,2.598,
358,300443.SZ,金雷股份,指标数值,35.0,12.51,28.24,,,,,,,,4.81,0.1,11.033,15.66
358,300443.SZ,金雷股份,指标分值,,,,,,,,,,,1.5857,0.9661,0.3491,
359,002202.SZ,金风科技,指标数值,35.0,12.43,28.43,,,,,113.2649,,,3.86,0.2,71.66,15.63
359,002202.SZ,金风科技,指标分值,,,,,,,,1.4201,,,1.3017,1.4506,1.6448,
360,002629.SZ,仁智股份,指标数值,33.75,13.55,23.64,,,,,,,,0.0685,,78.9409,15.57
360,002629.SZ,仁智股份,指标分值,,,,,,,,,,,0.3961,,1.0503,
361,300483.SZ,首华燃气,指标数值,26.25,15.01,17.69,,,,,,,,2.6,,30,15.54
361,300483.SZ,首华燃气,指标分值,,,,,,,,,,,0.9444,,1.5636,
362,00866.HK,CHINA QINFA,指标数值,45.0,8.64,42.98,,,,,,,,,,,15.51
362,00866.HK,CHINA QINFA,指标分值,,,,,,,,,,,,,,
363,002498.SZ,汉缆股份,指标数值,30.0,13.05,25.08,,,,,,,,5.06,0.04,28.83,15.45
363,002498.SZ,汉缆股份,指标分值,,,,,,,,,,,1.6603,0.7125,1.4641,
364,002623.SZ,亚玛顿,指标数值,33.75,14.01,20.81,,,,,,,,3.25,0.4,50.5297,15.37
364,002623.SZ,亚玛顿,指标分值,,,,,,,,,,,1.1242,2.3645,2.7978,
364,002879.SZ,长缆科技,指标数值,33.75,14.16,20.19,,,,,,,,5,0.5,27.9817,15.37
364,002879.SZ,长缆科技,指标分值,,,,,,,,,,,1.6424,2.6667,1.3929,
364,03868.HK,XINYI ENERGY,指标数值,48.75,9.39,39.3,,,,,,,,,,40.9432,15.37
364,03868.HK,XINYI ENERGY,指标分值,,,,,,,,,,,,,2.4396,
364,600725.SH,云维股份,指标数值,35.0,14.99,16.9,,,,,,,,,,25.48,15.37
364,600725.SH,云维股份,指标分值,,,,,,,,,,,,,1.1895,
365,688223.SH,晶科能源,指标数值,35.0,11.32,31.49,,,,,,,,3.87,,77.2,15.35
365,688223.SH,晶科能源,指标分值,,,,,,,,,,,1.3046,,1.1837,
366,300390.SZ,天华新能,指标数值,32.5,14.06,20.43,,,,,,,,1.65,0,32.2134,15.33
366,300390.SZ,天华新能,指标分值,,,,,,,,,,,0.7069,0.5661,1.7538,
366,300827.SZ,上能电气,指标数值,27.5,14.9,17.03,,,,,,,,5.82,0.12,62.141,15.33
366,300827.SZ,上能电气,指标分值,,,,,,,,,,,1.882,1.0583,2.4081,
367,002300.SZ,太阳电缆,指标数值,28.75,13.98,20.48,,,,,,,,0.3,0.07,64.2158,15.28
367,002300.SZ,太阳电缆,指标分值,,,,,,,,,,,0.4345,0.8346,2.2605,
368,002850.SZ,科达利,指标数值,26.25,12.93,24.36,,,,,,,,5.8,2.5,41.75,15.22
368,002850.SZ,科达利,指标分值,,,,,,,,,,,1.8763,3,2.4904,
369,301163.SZ,宏德股份,指标数值,30.0,14.22,19.16,,,,,,,,5.06,0.125,26.5973,15.21
369,301163.SZ,宏德股份,指标分值,,,,,,,,,,,1.6603,1.0818,1.2789,
369,301217.SZ,铜冠铜箔,指标数值,30.0,13.87,20.56,,,,,,,,1.4,,29.59,15.21
369,301217.SZ,铜冠铜箔,指标分值,,,,,,,,,,,0.6504,,1.5286,
370,00384.HK,CHINA GAS HOLD,指标数值,55.0,5.53,53.85,,,,,,,,,,,15.2
370,00384.HK,CHINA GAS HOLD,指标分值,,,,,,,,,,,,,,
371,600847.SH,万里股份,指标数值,38.75,13.41,22.31,,,,,,,,0.79,,12.8964,15.19
371,600847.SH,万里股份,指标分值,,,,,,,,,,,0.5239,,0.4214,
372,301511.SZ,德福科技,指标数值,27.5,14.66,17.28,,,,,,,,1.61,0.1,72.7556,15.18
372,301511.SZ,德福科技,指标分值,,,,,,,,,,,0.6977,0.9661,1.5509,
373,000554.SZ,泰山石油,指标数值,42.5,6.4,49.65,,,,,,,,,0.085,30.9716,15.05
373,000554.SZ,泰山石油,指标分值,,,,,,,,,,,,0.8993,1.647,
374,300360.SZ,炬华科技,指标数值,26.25,14.96,15.36,,,,,,,,8.17,0.3,15.3,15.04
374,300360.SZ,炬华科技,指标分值,,,,,,,,,,,2.4588,1.9434,0.5302,
375,601908.SH,京运通,指标数值,35.0,15.76,12.08,,,,,,,,1.22,,55.3817,15.03
375,601908.SH,京运通,指标分值,,,,,,,,,,,0.6113,,2.7408,
376,002805.SZ,丰元股份,指标数值,35.0,14.24,18.18,,,,,,,,10.26,,68.624,15.02
376,002805.SZ,丰元股份,指标分值,,,,,,,,,,,2.7742,,1.905,
377,300407.SZ,凯发电气,指标数值,23.75,15.26,13.96,,,,,,,,4.79,0.08,47.8872,15
377,300407.SZ,凯发电气,指标分值,,,,,,,,,,,1.5797,0.8775,2.7584,
378,002527.SZ,新时达,指标数值,26.25,15.01,14.88,,,,,241.312,,,6.65,,67.6273,14.99
378,002527.SZ,新时达,指标分值,,,,,,,,1.4195,,,2.1088,,1.9888,
379,300772.SZ,运达股份,指标数值,33.75,12.49,24.94,,,,,10.2663,,,3.24,0.06,84.4,14.98
379,300772.SZ,运达股份,指标分值,,,,,,,,1.4206,,,1.1213,0.7928,0.6862,
380,301179.SZ,泽宇智能,指标数值,27.5,15.07,14.26,,,,,,,,5.32,0.19,32.02,14.91
380,301179.SZ,泽宇智能,指标分值,,,,,,,,,,,1.7372,1.4003,1.7372,
381,00206.HK,CM-ENERGY,指标数值,48.75,5.9,50.87,,,,,,,,,,45.2595,14.9
381,00206.HK,CM-ENERGY,指标分值,,,,,,,,,,,,,2.6717,
382,00467.HK,UNITEDENERGY GP,指标数值,45.0,8.47,40.52,,,,,,,,,,,14.88
382,00467.HK,UNITEDENERGY GP,指标分值,,,,,,,,,,,,,,
383,003816.SZ,中国广核,指标数值,28.75,13.7,19.46,,,,,,,,5.37,0.086,65.15,14.86
383,003816.SZ,中国广核,指标分值,,,,,,,,,,,1.7518,0.9037,2.1891,
384,301222.SZ,浙江恒威,指标数值,32.5,14.02,17.8,,,,,,,,3.25,0.5,9.3356,14.78
384,301222.SZ,浙江恒威,指标分值,,,,,,,,,,,1.1242,2.6667,0.2919,
385,920185.BJ,贝特瑞,指标数值,32.5,13.0,21.8,,190,,,1390,,,,,,14.76
385,920185.BJ,贝特瑞,指标分值,,,,,4.1741,,,1.4137,,,,,,
386,00003.HK,HK & CHINA GAS,指标数值,46.25,6.61,47.26,,,,,,,,,,,14.74
386,00003.HK,HK & CHINA GAS,指标分值,,,,,,,,,,,,,,
387,300619.SZ,金银河,指标数值,27.5,15.41,11.98,,,,,,,,5.97,0.033,63.1429,14.72
387,300619.SZ,金银河,指标分值,,,,,,,,,,,1.9244,0.6854,2.3389,
388,301587.SZ,中瑞股份,指标数值,36.25,11.48,27.66,,,,,,,,8.6,,14.6766,14.71
388,301587.SZ,中瑞股份,指标分值,,,,,,,,,,,2.5396,,0.5003,
389,300853.SZ,申昊科技,指标数值,22.5,14.82,14.18,,,,,,,,22.66,,58.11,14.69
389,300853.SZ,申昊科技,指标分值,,,,,,,,,,,3,,2.6383,
390,301063.SZ,海锅股份,指标数值,31.25,12.64,22.86,,,,,,,,3.12,0.15,38.5707,14.68
390,301063.SZ,海锅股份,指标分值,,,,,,,,,,,1.0873,1.202,2.2739,
391,600405.SH,动力源,指标数值,33.75,13.44,19.16,,,,,,,,14.36,,95.91,14.59
391,600405.SH,动力源,指标分值,,,,,,,,,,,2.9795,,0.2177,
392,002245.SZ,蔚蓝锂芯,指标数值,20.0,16.25,7.65,,0.4998,,,,,,5.76,0.1,36.8232,14.53
392,002245.SZ,蔚蓝锂芯,指标分值,,,,,4.442,,,,,,1.8649,0.9661,2.1392,
393,00228.HK,CHINA ENERGY,指标数值,47.5,7.27,43.56,,,,,,,,,,18,14.52
393,00228.HK,CHINA ENERGY,指标分值,,,,,,,,,,,,,0.6742,
394,002980.SZ,华盛昌,指标数值,28.75,13.93,16.84,,,,,,,,10.26,,24.9831,14.51
394,002980.SZ,华盛昌,指标分值,,,,,,,,,,,2.7742,,1.1506,
395,301487.SZ,盟固利,指标数值,28.75,13.89,16.78,,,,,,,,4.53,0.006,50.9573,14.47
395,301487.SZ,盟固利,指标分值,,,,,,,,,,,1.5017,0.5868,2.7996,
396,00600.HK,AXERA,指标数值,38.75,7.87,40.7,12.5,,,,,,,,,,14.44
396,00600.HK,AXERA,指标分值,,,,6.0938,,,,,,,,,,
397,300191.SZ,潜能恒信,指标数值,20.0,15.04,11.68,,,,,,,,0.87,0.05,72.8909,14.37
397,300191.SZ,潜能恒信,指标分值,,,,,,,,,,,0.5396,0.752,1.5393,
398,01251.HK,SPT ENERGY,指标数值,45.0,8.24,38.7,,,,,,,,,,62.7562,14.33
398,01251.HK,SPT ENERGY,指标分值,,,,,,,,,,,,,2.3661,
399,002056.SZ,横店东磁,指标数值,22.5,13.74,16.58,,,,,,,,3.26,0.6,59.6808,14.31
399,002056.SZ,横店东磁,指标分值,,,,,,,,,,,1.127,2.8489,2.5588,
399,00975.HK,MONGOL MINING,指标数值,38.75,10.85,28.16,,,,,,,,,,,14.31
399,00975.HK,MONGOL MINING,指标分值,,,,,,,,,,,,,,
400,300904.SZ,威力传动,指标数值,35.0,12.59,21.12,,,,,,,,7.73,,79.6451,14.3
400,300904.SZ,威力传动,指标分值,,,,,,,,,,,2.3675,,0.9984,
401,300953.SZ,震裕科技,指标数值,26.25,12.86,20.01,,,,,,,,3.95,0.3,73.8,14.29
401,300953.SZ,震裕科技,指标分值,,,,,,,,,,,1.3283,1.9434,1.4621,
402,002733.SZ,雄韬股份,指标数值,32.5,11.11,26.86,,,,,,,,3.54,0.1,46.1027,14.26
402,002733.SZ,雄韬股份,指标分值,,,,,,,,,,,1.2077,0.9661,2.7044,
402,301155.SZ,海力风电,指标数值,30.0,12.17,22.64,,,,,,,,5.27,0.16,38.1233,14.26
402,301155.SZ,海力风电,指标分值,,,,,,,,,,,1.7224,1.251,2.2403,
402,600719.SH,大连热电,指标数值,31.25,13.53,17.18,,,,,,,,,,88.04,14.26
402,600719.SH,大连热电,指标分值,,,,,,,,,,,,,0.4951,
403,00650.HK,PRODUCTIVE TECH,指标数值,48.75,6.99,43.25,,,,,,,,40.3412,,,14.24
403,00650.HK,PRODUCTIVE TECH,指标分值,,,,,,,,,,,3,,,
404,002364.SZ,中恒电气,指标数值,23.75,14.6,12.58,,,,,,,,8.01,0.1,40.83,14.2
404,002364.SZ,中恒电气,指标分值,,,,,,,,,,,2.4266,0.9661,2.4322,
405,01921.HK,DALIPAL HLDG,指标数值,48.75,3.91,55.21,,,,,,,,,,,14.17
405,01921.HK,DALIPAL HLDG,指标分值,,,,,,,,,,,,,,
406,002358.SZ,森源电气,指标数值,32.5,12.67,19.96,,,,,,,,4.11,0.02,51.864,14.13
406,002358.SZ,森源电气,指标分值,,,,,,,,,,,1.376,0.6368,2.7989,
407,300660.SZ,江苏雷利,指标数值,27.5,13.25,17.21,,,,,,,,4.74,0.2,41.5963,14.04
407,300660.SZ,江苏雷利,指标分值,,,,,,,,,,,1.5647,1.4506,2.481,
408,002892.SZ,科力尔,指标数值,25.0,12.7,19.18,,,,,,,,5.27,0.022,50.5251,14
408,002892.SZ,科力尔,指标分值,,,,,,,,,,,1.7224,0.6442,2.7978,
409,301292.SZ,海科新源,指标数值,30.0,11.9,22.28,,,,,,,,3.75,,66.0798,13.98
409,301292.SZ,海科新源,指标分值,,,,,,,,,,,1.2692,,2.1156,
410,002441.SZ,众业达,指标数值,26.25,12.78,18.66,,,,,,,,0.31,0.3,31.6183,13.96
410,002441.SZ,众业达,指标分值,,,,,,,,,,,0.4363,1.9434,1.7026,
411,300140.SZ,节能环境,指标数值,31.25,10.77,26.31,,,,,,,,1.39,0.06,51.8013,13.88
411,300140.SZ,节能环境,指标分值,,,,,,,,,,,0.6482,0.7928,2.7991,
412,605090.SH,九丰能源,指标数值,26.25,14.56,11.14,,,,,,,,0.07,0.25,26.98,13.87
412,605090.SH,九丰能源,指标分值,,,,,,,,,,,0.3963,1.7013,1.3101,
413,301238.SZ,瑞泰新材,指标数值,35.0,10.0,29.22,,,,,,,,3.3,0.2,22.2741,13.85
413,301238.SZ,瑞泰新材,指标分值,,,,,,,,,,,1.1384,1.4506,0.9491,
414,300035.SZ,中科电气,指标数值,25.0,13.67,14.48,,,,,,,,2.95,0.25,62.174,13.83
414,300035.SZ,中科电气,指标分值,,,,,,,,,,,1.0397,1.7013,2.4059,
415,000720.SZ,新能泰山,指标数值,30.0,11.37,23.61,,,,,,,,0.04,,58.27,13.81
415,000720.SZ,新能泰山,指标分值,,,,,,,,,,,0.3915,,2.6309,
416,301361.SZ,众智科技,指标数值,26.25,12.67,18.28,,,,,,,,9.75,0.11,7.1816,13.79
416,301361.SZ,众智科技,指标分值,,,,,,,,,,,2.7146,1.0118,0.23,
417,002986.SZ,宇新股份,指标数值,27.5,12.47,18.88,,,,,,,,4.68,,59.4836,13.75
417,002986.SZ,宇新股份,指标分值,,,,,,,,,,,1.5467,,2.5695,
418,300051.SZ,琏升科技,指标数值,33.75,11.53,22.44,,,,,,,,4.21,,80.9866,13.71
418,300051.SZ,琏升科技,指标分值,,,,,,,,,,,1.4058,,0.9035,
418,300410.SZ,正业科技,指标数值,30.0,11.84,21.19,,,,,,,,4.51,,81.6025,13.71
418,300410.SZ,正业科技,指标分值,,,,,,,,,,,1.4957,,0.8616,
419,002346.SZ,柘中股份,指标数值,26.25,12.4,18.61,,,,,,,,3.17,0.5,30.1357,13.64
419,002346.SZ,柘中股份,指标分值,,,,,,,,,,,1.1014,2.6667,1.5752,
420,300283.SZ,温州宏丰,指标数值,27.5,11.79,20.43,,,,,,,,2.32,0.015,68.1104,13.52
420,300283.SZ,温州宏丰,指标分值,,,,,,,,,,,0.8709,0.6187,1.9483,
421,02728.HK,JINTAI ENERGY H,指标数值,40.0,10.5,25.52,,,,,,,,,,85.3668,13.5
421,02728.HK,JINTAI ENERGY H,指标分值,,,,,,,,,,,,,0.6313,
422,300593.SZ,新雷能,指标数值,26.25,11.01,23.06,,,,,,,,34.35,0,41.73,13.42
422,300593.SZ,新雷能,指标分值,,,,,,,,,,,3,0.5661,2.4892,
423,01608.HK,VPOWER GROUP,指标数值,46.25,5.89,43.48,,,,,,,,,,,13.4
423,01608.HK,VPOWER GROUP,指标分值,,,,,,,,,,,,,,
424,002121.SZ,科陆电子,指标数值,27.5,12.71,15.98,,,,,,,,6.35,,95.15,13.37
424,002121.SZ,科陆电子,指标分值,,,,,,,,,,,2.0292,,0.2373,
424,300118.SZ,东方日升,指标数值,35.0,10.47,24.99,,,,,,,,2.28,,72.6643,13.37
424,300118.SZ,东方日升,指标分值,,,,,,,,,,,0.8607,,1.5587,
424,301040.SZ,中环海陆,指标数值,30.0,11.71,20.03,,,,,,,,3.29,0,46.18,13.37
424,301040.SZ,中环海陆,指标分值,,,,,,,,,,,1.1356,0.5661,2.7072,
424,301152.SZ,天力锂能,指标数值,33.75,11.99,18.91,,,,,,,,3.23,,52.2243,13.37
424,301152.SZ,天力锂能,指标分值,,,,,,,,,,,1.1185,,2.797,
425,301278.SZ,快可电子,指标数值,25.0,13.56,12.56,,,,,,,,4.01,0.04,34.6224,13.36
425,301278.SZ,快可电子,指标分值,,,,,,,,,,,1.3462,0.7125,1.9589,
426,02178.HK,PETRO-KING,指标数值,42.5,8.1,34.37,,,,,,,,8.3727,,,13.35
426,02178.HK,PETRO-KING,指标分值,,,,,,,,,,,2.4979,,,
427,000883.SZ,湖北能源,指标数值,27.5,10.69,23.88,,,,,,,,0.13,0.15,55.84,13.33
427,000883.SZ,湖北能源,指标分值,,,,,,,,,,,0.4061,1.202,2.727,
427,301002.SZ,崧盛股份,指标数值,25.0,12.75,15.66,,,,,,,,12.25,0,30,13.33
427,301002.SZ,崧盛股份,指标分值,,,,,,,,,,,2.9208,0.5661,1.5636,
428,301120.SZ,新特电气,指标数值,32.5,12.5,16.31,,,,,,,,9.04,0.054,9.4128,13.26
428,301120.SZ,新特电气,指标分值,,,,,,,,,,,2.6135,0.7682,0.2943,
429,688349.SH,三一重能,指标数值,27.5,8.44,32.16,,,,,,,,2.95,0.37,68.84,13.18
429,688349.SH,三一重能,指标分值,,,,,,,,,,,1.0397,2.2494,1.8867,
430,002882.SZ,金龙羽,指标数值,28.75,11.84,18.29,,,,,,,,1.58,0.1,53.2538,13.13
430,002882.SZ,金龙羽,指标分值,,,,,,,,,,,0.6908,0.9661,2.7864,
431,000009.SZ,中国宝安,指标数值,25.0,12.5,15.48,,,,,,,,4.71,0.03,59.78,13.09
431,000009.SZ,中国宝安,指标分值,,,,,,,,,,,1.5557,0.674,2.5533,
432,002112.SZ,三变科技,指标数值,30.0,11.19,20.51,,,,,,,,3.63,0.01,66.0517,13.05
432,002112.SZ,三变科技,指标分值,,,,,,,,,,,1.234,0.6008,2.1178,
432,002851.SZ,麦格米特,指标数值,22.5,12.82,13.98,,,,,,,,11.94,0.03,42.24,13.05
432,002851.SZ,麦格米特,指标分值,,,,,,,,,,,2.9054,0.674,2.5198,
433,603798.SH,康普顿,指标数值,30.0,12.74,14.06,,,,,,,,2.91,0.1,11.9972,13
433,603798.SH,康普顿,指标分值,,,,,,,,,,,1.0287,0.9661,0.3853,
434,600397.SH,江钨装备,指标数值,27.5,12.52,14.55,,,,,,,,0.53,,53.2867,12.92
434,600397.SH,江钨装备,指标分值,,,,,,,,,,,0.4751,,2.7859,
435,03633.HK,ZHONGYU ENERGY,指标数值,45.0,4.51,46.34,,,,,,,,,,,12.87
435,03633.HK,ZHONGYU ENERGY,指标分值,,,,,,,,,,,,,,
436,300933.SZ,中辰股份,指标数值,27.5,11.64,17.68,,,,,,,,3.52,0,49.87,12.85
436,300933.SZ,中辰股份,指标分值,,,,,,,,,,,1.2019,0.5661,2.7926,
437,001376.SZ,百通能源,指标数值,23.75,11.66,17.42,,,,,,,,,0.1,30.6549,12.81
437,001376.SZ,百通能源,指标分值,,,,,,,,,,,,0.9661,1.6197,
438,300332.SZ,天壕能源,指标数值,30.0,9.96,24.13,,,,,,,,1.21,0,47.98,12.8
438,300332.SZ,天壕能源,指标分值,,,,,,,,,,,0.6092,0.5661,2.7606,
438,301516.SZ,中远通,指标数值,25.0,13.16,11.38,,,,,,,,12.8,0,25.8731,12.8
438,301516.SZ,中远通,指标分值,,,,,,,,,,,2.9429,0.5661,1.2207,
439,000682.SZ,东方电子,指标数值,21.25,12.08,15.58,,,,,,,,8.25,0.05,54.2741,12.78
439,000682.SZ,东方电子,指标分值,,,,,,,,,,,2.4745,0.752,2.7685,
440,601179.SH,中国西电,指标数值,22.5,11.75,16.85,,,,,,,,5.27,0.101,,12.77
440,601179.SH,中国西电,指标分值,,,,,,,,,,,1.7224,0.9706,,
441,000968.SZ,蓝焰控股,指标数值,22.5,11.2,18.83,,,,,,,,4,0.05,43.4,12.73
441,000968.SZ,蓝焰控股,指标分值,,,,,,,,,,,1.3432,0.752,2.5842,
442,00295.HK,KONG SUN HOLD,指标数值,47.5,6.85,36.17,,,,,,,,,,53.7893,12.71
442,00295.HK,KONG SUN HOLD,指标分值,,,,,,,,,,,,,2.7779,
443,01738.HK,FS ANTHRACITE,指标数值,37.5,9.35,26.1,,,,,,,,,,189.7576,12.7
443,01738.HK,FS ANTHRACITE,指标分值,,,,,,,,,,,,,0,
444,01080.HK,SHENGLI PIPE,指标数值,43.75,6.88,35.78,,,,,,,,,,,12.66
444,01080.HK,SHENGLI PIPE,指标分值,,,,,,,,,,,,,,
445,301157.SZ,华塑科技,指标数值,31.25,9.4,25.56,,,,,,,,11.15,0.15,12.8021,12.63
445,301157.SZ,华塑科技,指标分值,,,,,,,,,,,2.8549,1.202,0.4175,
446,002221.SZ,东华能源,指标数值,28.75,10.01,22.99,,,,,,,,0.41,,72.2,12.61
446,002221.SZ,东华能源,指标分值,,,,,,,,,,,0.4536,,1.5985,
446,300750.SZ,宁德时代,指标数值,21.25,10.53,20.93,,,,,,,,5.23,6.957,61.94,12.61
446,300750.SZ,宁德时代,指标分值,,,,,,,,,,,1.7106,3,2.4215,
447,605028.SH,世茂能源,指标数值,32.5,8.7,27.98,,,,,66036.1003,,,3.55,0.9,,12.56
447,605028.SH,世茂能源,指标分值,,,,,,,,1.0857,,,1.2106,2.9945,,
448,01083.HK,TG SMART ENERGY,指标数值,42.5,4.96,42.83,,,,,,,,,,,12.53
448,01083.HK,TG SMART ENERGY,指标分值,,,,,,,,,,,,,,
448,301210.SZ,金杨精密,指标数值,25.0,12.64,12.08,,,,,,,,3.49,0.15,35.5108,12.53
448,301210.SZ,金杨精密,指标分值,,,,,,,,,,,1.1932,1.202,2.0329,
449,002255.SZ,海陆重工,指标数值,35.0,8.89,26.94,,,,,,,,3.94,0.05,31.2385,12.5
449,002255.SZ,海陆重工,指标分值,,,,,,,,,,,1.3254,0.752,1.6699,
450,002339.SZ,积成电子,指标数值,26.25,11.79,15.25,,,,,,,,7.07,0.02,50.3866,12.48
450,002339.SZ,积成电子,指标分值,,,,,,,,,,,2.2149,0.6368,2.797,
451,688147.SH,微导纳米,指标数值,26.25,9.18,25.34,,,,,,,,14.26,0.144,69.35,12.41
451,688147.SH,微导纳米,指标分值,,,,,,,,,,,2.978,1.1728,1.8432,
452,001269.SZ,欧晶科技,指标数值,32.5,10.15,21.18,,,,,,,,5.27,,58.35,12.35
452,001269.SZ,欧晶科技,指标分值,,,,,,,,,,,1.7224,,2.6271,
452,002576.SZ,通达动力,指标数值,23.75,10.75,18.76,,,,,,,,3.15,0.08,36.2697,12.35
452,002576.SZ,通达动力,指标分值,,,,,,,,,,,1.0958,0.8775,2.0948,
453,300569.SZ,天能重工,指标数值,27.5,11.24,16.56,,,,,,,,0.42,0.018,56.66,12.31
453,300569.SZ,天能重工,指标分值,,,,,,,,,,,0.4554,0.6295,2.6987,
454,300432.SZ,富临精工,指标数值,22.5,11.99,13.48,,,,,,,,2.02,0.1,63.4264,12.28
454,300432.SZ,富临精工,指标分值,,,,,,,,,,,0.7953,0.9661,2.3186,
455,00704.HK,HUSCOKE HLDGS,指标数值,40.0,5.95,37.18,,,,,,,,,,,12.2
455,00704.HK,HUSCOKE HLDGS,指标分值,,,,,,,,,,,,,,
