stock_code,company_name,exchange,sub_industry,included,exclusion_reason,entity_id,source_url,as_of_date
600468.SH,百利电气,SSE,历史能源样本待复核,true,,600468.SH,,
605196.SH,华通线缆,SSE,历史能源样本待复核,true,,605196.SH,,
603861.SH,白云电器,SSE,历史能源样本待复核,true,,603861.SH,,
603320.SH,迪贝电气,SSE,历史能源样本待复核,true,,603320.SH,,
002128.SZ,电投能源,SZSE,历史能源样本待复核,true,,002128.SZ,,
00006.HK,电能实业有限公司,HKEX,历史能源样本待复核,false,HKEX官方快照尚未接入,00006.HK,,
01555.HK,MI能源控股有限公司,HKEX,历史能源样本待复核,false,HKEX官方快照尚未接入,01555.HK,,
300772.SZ,运达股份,SZSE,历史能源样本待复核,true,,300772.SZ,,
600116.SH,三峡水利,SSE,历史能源样本待复核,true,,600116.SH,,
600903.SH,贵州燃气,SSE,历史能源样本待复核,true,,600903.SH,,
600884.SH,杉杉股份,SSE,历史能源样本待复核,true,,600884.SH,,
000819.SZ,岳阳兴长,SZSE,历史能源样本待复核,true,,000819.SZ,,
00091.HK,金禧国际控股集团有限公司,HKEX,历史能源样本待复核,false,HKEX官方快照尚未接入,00091.HK,,
002056.SZ,横店东磁,SZSE,历史能源样本待复核,true,,002056.SZ,,
000539.SZ,粤电力Ａ,SZSE,历史能源样本待复核,true,,000539.SZ,,
601616.SH,广电电气,SSE,历史能源样本待复核,true,,601616.SH,,
600405.SH,动力源,SSE,历史能源样本待复核,true,,600405.SH,,
00819.HK,天能动力国际有限公司,HKEX,历史能源样本待复核,false,HKEX官方快照尚未接入,00819.HK,,
600163.SH,中闽能源,SSE,历史能源样本待复核,true,,600163.SH,,
603706.SH,东方环宇,SSE,历史能源样本待复核,true,,603706.SH,,
603618.SH,杭电股份,SSE,历史能源样本待复核,true,,603618.SH,,
688616.SH,西力科技,SSE,历史能源样本待复核,true,,688616.SH,,
688116.SH,天奈科技,SSE,历史能源样本待复核,true,,688116.SH,,
600508.SH,上海能源,SSE,历史能源样本待复核,true,,600508.SH,,
03395.HK,吉星新能源有限责任公司,HKEX,历史能源样本待复核,false,HKEX官方快照尚未接入,03395.HK,,
00689.HK,长盈集团(控股)有限公司,HKEX,历史能源样本待复核,false,HKEX官方快照尚未接入,00689.HK,,
688517.SH,金冠电气,SSE,历史能源样本待复核,true,,688517.SH,,
002986.SZ,宇新股份,SZSE,历史能源样本待复核,true,,002986.SZ,,
600744.SH,华银电力,SSE,历史能源样本待复核,true,,600744.SH,,
300763.SZ,锦浪科技,SZSE,历史能源样本待复核,true,,300763.SZ,,
603032.SH,德新科技,SSE,历史能源样本待复核,true,,603032.SH,,
301217.SZ,铜冠铜箔,SZSE,历史能源样本待复核,true,,301217.SZ,,
000537.SZ,绿发电力,SZSE,历史能源样本待复核,true,,000537.SZ,,
605368.SH,蓝天燃气,SSE,历史能源样本待复核,true,,605368.SH,,
600550.SH,保变电气,SSE,历史能源样本待复核,true,,600550.SH,,
002221.SZ,东华能源,SZSE,历史能源样本待复核,true,,002221.SZ,,
603689.SH,皖天然气,SSE,历史能源样本待复核,true,,603689.SH,,
688388.SH,嘉元科技,SSE,历史能源样本待复核,true,,688388.SH,,
600726.SH,华电能源,SSE,历史能源样本待复核,true,,600726.SH,,
002121.SZ,科陆电子,SZSE,历史能源样本待复核,true,,002121.SZ,,
688717.SH,艾罗能源,SSE,历史能源样本待复核,true,,688717.SH,,
001376.SZ,百通能源,SZSE,历史能源样本待复核,true,,001376.SZ,,
002534.SZ,西子洁能,SZSE,历史能源样本待复核,true,,002534.SZ,,
688429.SH,时创能源,SSE,历史能源样本待复核,true,,688429.SH,,
688191.SH,智洋创新,SSE,历史能源样本待复核,true,,688191.SH,,
688680.SH,海优新材,SSE,历史能源样本待复核,true,,688680.SH,,
603031.SH,安孚科技,SSE,历史能源样本待复核,true,,603031.SH,,
