batch_task_rank,impact_rank,impact_score,best_rank,worst_rank,rank_span,crosses_top_n,boundary_risk,instability_risk,weight_risk,missing_esg_document,esg_status,company_code,company_name,report_year,indicator_code,indicator_name,indicator_weight,priority,status,next_action
121,604,75.0,127,285,158,True,1.0,1.0,0.4,False,embedded_in_annual,001299.SZ,美能能源,2025,X_G_AUDIT,会计审计,3.0,1,evidence_missing,locate_additional_public_evidence
122,605,75.0,127,285,158,True,1.0,1.0,0.4,False,embedded_in_annual,001299.SZ,美能能源,2025,X_G_ESG_MANAGEMENT,可持续发展管理,3.0,1,evidence_missing,locate_additional_public_evidence
123,606,75.0,127,285,158,True,1.0,1.0,0.4,False,embedded_in_annual,001299.SZ,美能能源,2025,X_G_PERFORMANCE,经营表现,3.0,1,evidence_missing,locate_additional_public_evidence
124,609,75.0,12,302,290,True,1.0,1.0,0.4,False,embedded_in_annual,002039.SZ,黔源电力,2025,X_E_ENERGY_MANAGEMENT,能源管理,3.0,1,evidence_missing,locate_additional_public_evidence
125,610,75.0,12,302,290,True,1.0,1.0,0.4,False,embedded_in_annual,002039.SZ,黔源电力,2025,X_G_AUDIT,会计审计,3.0,1,evidence_missing,locate_additional_public_evidence
126,611,75.0,12,302,290,True,1.0,1.0,0.4,False,embedded_in_annual,002039.SZ,黔源电力,2025,X_G_ESG_MANAGEMENT,可持续发展管理,3.0,1,evidence_missing,locate_additional_public_evidence
127,612,75.0,12,302,290,True,1.0,1.0,0.4,False,embedded_in_annual,002039.SZ,黔源电力,2025,X_G_PERFORMANCE,经营表现,3.0,1,evidence_missing,locate_additional_public_evidence
128,620,75.0,113,423,310,True,1.0,1.0,0.4,False,embedded_in_annual,002128.SZ,电投能源,2025,X_G_AUDIT,会计审计,3.0,1,evidence_missing,locate_additional_public_evidence
129,621,75.0,113,423,310,True,1.0,1.0,0.4,False,embedded_in_annual,002128.SZ,电投能源,2025,X_G_ESG_MANAGEMENT,可持续发展管理,3.0,1,evidence_missing,locate_additional_public_evidence
130,622,75.0,113,423,310,True,1.0,1.0,0.4,False,embedded_in_annual,002128.SZ,电投能源,2025,X_G_PERFORMANCE,经营表现,3.0,1,evidence_missing,locate_additional_public_evidence
131,623,75.0,135,310,175,True,1.0,1.0,0.4,False,embedded_in_annual,002267.SZ,陕天然气,2025,X_E_ENERGY_MANAGEMENT,能源管理,3.0,1,evidence_missing,locate_additional_public_evidence
132,624,75.0,135,310,175,True,1.0,1.0,0.4,False,embedded_in_annual,002267.SZ,陕天然气,2025,X_G_AUDIT,会计审计,3.0,1,evidence_missing,locate_additional_public_evidence
133,625,75.0,135,310,175,True,1.0,1.0,0.4,False,embedded_in_annual,002267.SZ,陕天然气,2025,X_G_ESG_MANAGEMENT,可持续发展管理,3.0,1,evidence_missing,locate_additional_public_evidence
