company_code,company_name,report_year,indicator_code,candidate_count,distinct_values,source_pages,recommended_value,review_reason,action,selected_value,reviewer,reviewed_at,note
605378.SH,野马电池,2025,Q_G_DEBT_ASSET_RATE,2,15.4058|15.41,71|171,,conflicting_candidates,,,,,
688005.SH,容百科技,2025,Q_G_REVENUE_GROWTH,2,-18.6917|22.4199,8|9,,conflicting_candidates,,,,,
688032.SH,禾迈股份,2025,Q_G_REVENUE_GROWTH,2,-3.05602|35.2809,8|9,,conflicting_candidates,,,,,
688063.SH,派能科技,2025,Q_G_DEBT_ASSET_RATE,2,30.3256|70,80|153,,conflicting_candidates,,,,,
688116.SH,天奈科技,2025,Q_G_DEBT_ASSET_RATE,3,33.5961|33.6|42.33,123|140,,conflicting_candidates,,,,,
688116.SH,天奈科技,2025,Q_G_REVENUE_GROWTH,2,-10.4118|10.8609,7|8,,conflicting_candidates,,,,,
688147.SH,微导纳米,2025,Q_G_REVENUE_GROWTH,2,-8.11856|-2.46665,8|9,,conflicting_candidates,,,,,
688148.SH,芳源股份,2025,Q_G_DEBT_ASSET_RATE,4,70|83.77|83.7747,32|60|98|106,,conflicting_candidates,,,,,
688148.SH,芳源股份,2025,Q_G_REVENUE_GROWTH,2,-17.2804|5.38809,7|8,,conflicting_candidates,,,,,
688191.SH,智洋创新,2025,Q_G_REVENUE_GROWTH,2,-13.9616|21.692,8|9,,conflicting_candidates,,,,,
688223.SH,晶科能源,2025,Q_G_DEBT_ASSET_RATE,2,77.1988|77.2,121|136,,conflicting_candidates,,,,,
688226.SH,威腾电气,2025,Q_G_DEBT_ASSET_RATE,3,64.58|65.52|65.5235,191|200,,conflicting_candidates,,,,,
688226.SH,威腾电气,2025,Q_G_REVENUE_GROWTH,2,-14.7651|10.6502,8|9,,conflicting_candidates,,,,,
688275.SH,万润新能,2025,Q_G_DEBT_ASSET_RATE,4,68.39|73.56|73.5621,132|144|257,,conflicting_candidates,,,,,
688275.SH,万润新能,2025,Q_G_REVENUE_GROWTH,2,-35.9649|52.7636,10|11,,conflicting_candidates,,,,,
688303.SH,大全能源,2025,Q_G_DEBT_ASSET_RATE,2,8.62|8.62095,17|118,,conflicting_candidates,,,,,
688303.SH,大全能源,2025,Q_G_REVENUE_GROWTH,2,-34.7073|1.27089,8|9,,conflicting_candidates,,,,,
688330.SH,宏力达,2025,Q_G_REVENUE_GROWTH,2,-98.3432|-33.5479,9|10,,conflicting_candidates,,,,,
688339.SH,亿华通,2025,Q_G_REVENUE_GROWTH,2,-37.0624|-29.4907,8|9,,conflicting_candidates,,,,,
688345.SH,博力威,2025,Q_G_DEBT_ASSET_RATE,3,60.85|61.1769|61.18,98|109,,conflicting_candidates,,,,,
688345.SH,博力威,2025,Q_G_REVENUE_GROWTH,2,-26.4463|48.3321,7|8,,conflicting_candidates,,,,,
688353.SH,华盛锂电,2025,Q_G_DEBT_ASSET_RATE,3,16.87|19.54|19.5427,137|151,,conflicting_candidates,,,,,
688353.SH,华盛锂电,2025,Q_G_REVENUE_GROWTH,2,-26.6913|72.2103,9|10,,conflicting_candidates,,,,,
688388.SH,嘉元科技,2025,Q_G_DEBT_ASSET_RATE,4,45.98|51.92|51.921|70,85|134|142|154,,conflicting_candidates,,,,,
688388.SH,嘉元科技,2025,Q_G_REVENUE_GROWTH,2,15.2381|47.8526,7|8,,conflicting_candidates,,,,,
688392.SH,骄成超声,2025,Q_G_DEBT_ASSET_RATE,2,24.1566|24.16,93|106,,conflicting_candidates,,,,,
688408.SH,中信博,2025,Q_G_REVENUE_GROWTH,2,-23.7245|6.66667,8|9,,conflicting_candidates,,,,,
688472.SH,阿特斯,2025,Q_G_DEBT_ASSET_RATE,2,63.65|63.6517,166|182,,conflicting_candidates,,,,,
688499.SH,利元亨,2025,Q_G_DEBT_ASSET_RATE,2,72.68|72.6819,60|156,,conflicting_candidates,,,,,
688499.SH,利元亨,2025,Q_G_REVENUE_GROWTH,2,-33.3333|23.9799,7|8,,conflicting_candidates,,,,,
688499.SH,利元亨,2025,Q_G_ROE,3,1.54|2.26,7|8,,conflicting_candidates,,,,,
688503.SH,聚和材料,2025,Q_G_DEBT_ASSET_RATE,2,41.8|58.2576,113|124,,conflicting_candidates,,,,,
688517.SH,金冠电气,2025,Q_G_DEBT_ASSET_RATE,2,39.4193|39.42,130|243,,conflicting_candidates,,,,,
688551.SH,科威尔,2025,Q_G_DEBT_ASSET_RATE,3,21.3|21.3025|24.01,96|106,,conflicting_candidates,,,,,
688556.SH,高测股份,2025,Q_G_DEBT_ASSET_RATE,3,48.05|48.0522|52.53,100|115,,conflicting_candidates,,,,,
688556.SH,高测股份,2025,Q_G_REVENUE_GROWTH,2,-18.4254|-6.84685,8|9,,conflicting_candidates,,,,,
688560.SH,明冠新材,2025,Q_G_REVENUE_GROWTH,2,-16.7014|-0.421941,7|8,,conflicting_candidates,,,,,
688567.SH,孚能科技,2025,Q_G_DEBT_ASSET_RATE,2,59.3688|59.37,26|113,,conflicting_candidates,,,,,
688567.SH,孚能科技,2025,Q_G_REVENUE_GROWTH,2,-21.9484|14.6617,7|8,,conflicting_candidates,,,,,
688597.SH,煜邦电力,2025,Q_G_DEBT_ASSET_RATE,2,55.47|55.5215,178|184,,conflicting_candidates,,,,,
688598.SH,金博股份,2025,Q_G_DEBT_ASSET_RATE,3,16.99|23.2159|23.22,93|105,,conflicting_candidates,,,,,
688599.SH,天合光能,2025,Q_G_DEBT_ASSET_RATE,2,74.02|76.9296,131|145,,conflicting_candidates,,,,,
688599.SH,天合光能,2025,Q_G_REVENUE_GROWTH,2,-16.6092|-11.9942,8|9,,conflicting_candidates,,,,,
688611.SH,杭州柯林,2025,Q_G_REVENUE_GROWTH,2,-61.8285|161.076,9|10,,conflicting_candidates,,,,,
688616.SH,西力科技,2025,Q_G_REVENUE_GROWTH,2,-32.5723|-3.51838,7|8,,conflicting_candidates,,,,,
688638.SH,誉辰智能,2025,Q_G_DEBT_ASSET_RATE,3,52.7|67.42|67.4207,150|165,,conflicting_candidates,,,,,
688638.SH,誉辰智能,2025,Q_G_REVENUE_GROWTH,2,4.30309|42.4747,8|9,,conflicting_candidates,,,,,
688660.SH,电气风电,2025,Q_G_REVENUE_GROWTH,2,-26.9682|31.0708,7|8,,conflicting_candidates,,,,,
688660.SH,电气风电,2025,Q_S_ENV_INVEST_RATE,1,0.02,54,0.02,single_or_consistent,,,,,
