company_code,company_name,report_year,document_type,source_url,published_date,title
600726.SH,华电能源,2025,annual_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-23/600726_20260423_UOPF.pdf,2026-04-23,华电能源2025年年度报告
600732.SH,爱旭股份,2025,annual_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-28/600732_20260428_7N2Y.pdf,2026-04-28,2025年年度报告
600732.SH,爱旭股份,2025,esg_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-28/600732_20260428_UOFA.pdf,2026-04-28,2025年度环境、社会和公司治理报告
600744.SH,华银电力,2025,annual_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-23/600744_20260423_AN7O.pdf,2026-04-23,大唐华银电力股份有限公司2025年年度报告
600744.SH,华银电力,2025,esg_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-23/600744_20260423_ZMP3.pdf,2026-04-23,大唐华银电力股份有限公司2025年度可持续发展报告
600758.SH,辽宁能源,2025,annual_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-23/600758_20260423_OTCO.pdf,2026-04-23,2025年年度报告
600777.SH,*ST新潮,2025,annual_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-24/600777_20260424_FL01.pdf,2026-04-24,2025年年度报告
600777.SH,*ST新潮,2025,esg_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-24/600777_20260424_SO09.pdf,2026-04-24,山东新潮能源股份有限公司2025年度社会责任报告
600780.SH,通宝能源,2025,annual_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-25/600780_20260425_2QGG.pdf,2026-04-25,山西通宝能源股份有限公司2025年年度报告
600780.SH,通宝能源,2025,esg_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-25/600780_20260425_W3GS.pdf,2026-04-25,山西通宝能源股份有限公司2025年度可持续发展报告
600795.SH,国电电力,2025,annual_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-15/600795_20260415_9PNY.pdf,2026-04-15,国电电力2025年年度报告
600795.SH,国电电力,2025,esg_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-15/600795_20260415_TZB0.pdf,2026-04-15,国电电力发展股份有限公司2025年ESG报告
600803.SH,新奥股份,2025,annual_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-03-28/600803_20260328_HKOX.pdf,2026-03-28,新奥股份2025年年度报告
600803.SH,新奥股份,2025,esg_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-29/600803_20260429_H66N.pdf,2026-04-29,新奥股份2025年度环境、社会和公司治理报告
600821.SH,金开新能,2025,annual_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-18/600821_20260418_U3DI.pdf,2026-04-18,2025年年度报告
