stock_code,company_name,published_date,title,document_type,source_url,source
['000819'].SZ,['岳阳兴长'],2026-04-21,岳阳兴长：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-21/a6eb81b5-6e76-4f83-a670-06d97439595d.PDF,SZSE
['002056'].SZ,['横店东磁'],2026-03-28,横店东磁：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-28/f1c580f0-6676-467e-aa2a-23596db5075f.PDF,SZSE
['000539'].SZ,['粤电力Ａ'],2026-03-31,粤电力Ａ：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-31/07735727-f60a-4a65-b45a-d3bedb3a8192.PDF,SZSE
['002986'].SZ,['宇新股份'],2026-04-28,宇新股份：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-28/288a8f32-fd0f-425b-9ffb-4e37945b0cb0.PDF,SZSE
['300763'].SZ,['锦浪科技'],2026-04-27,锦浪科技：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-27/5896c519-14d0-4bdc-b47a-1ccc0aa7162a.PDF,SZSE
['301217'].SZ,['铜冠铜箔'],2026-04-18,铜冠铜箔：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-18/aae28b28-b0f3-4b00-8650-48cc80f07e5b.PDF,SZSE
['000537'].SZ,['绿发电力'],2026-04-28,绿发电力：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-28/b1bb7df3-3ace-455c-94b0-b2593b344572.PDF,SZSE
['002221'].SZ,['东华能源'],2026-04-29,东华能源：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-29/ba4f5e7f-c222-4b3d-a472-0235e3269623.PDF,SZSE
['002121'].SZ,['科陆电子'],2026-03-21,科陆电子：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-21/ed93f917-25f8-48f9-ab61-42295b09cb1f.PDF,SZSE
['001376'].SZ,['百通能源'],2026-04-28,百通能源：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-28/137db815-42e3-4949-b832-a56948686385.PDF,SZSE
['002534'].SZ,['西子洁能'],2026-04-10,西子洁能：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-10/3560cabc-efb7-4f50-95bc-6cf839c31719.PDF,SZSE
['003022'].SZ,['联泓新科'],2026-03-28,联泓新科：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-28/4a537242-6263-4f8d-89c8-3c87f0aff562.PDF,SZSE
['002700'].SZ,['万憬能源'],2026-04-25,万憬能源：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-25/a7c9e1d6-7141-45ca-9af7-15a645c622a3.PDF,SZSE
