evaluation_year,report_year,historical_rank,stock_code,company_abbr,company_name,contact_name,company_city,exchange,st_flag,current_snapshot_status,historical_esg_score,source_file,source_value_row,source_score_row
2024,2023,42,002506.SZ,协鑫集成,协鑫集成科技股份有限公司,马燕,,SZSE,False,matched,55.84,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,85,86
2024,2023,43,688063.SH,派能科技,上海派能能源科技股份有限公司,李天平,,SSE,False,matched,55.65,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,87,88
2024,2023,44,601012.SH,隆基绿能,隆基绿能科技股份有限公司,马燕,西安,SSE,False,matched,55.63,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,89,90
2024,2023,45,002202.SZ,金风科技,金风科技股份有限公司,马燕,北京,SZSE,False,matched,55.25,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,91,92
2024,2023,46,01733.HK,易大宗,易大宗控股有限公司,马燕,北京,HKEX,False,not_applicable,54.95,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,93,94
2024,2023,47,00003.HK,香港中华煤气,香港中华煤气有限公司,李天平,香港,HKEX,False,not_applicable,54.78,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,95,96
2024,2023,48,003816.SZ,中国广核,中国广核电力股份有限公司,李天平,深圳,SZSE,False,matched,54.62,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,97,98
2024,2023,49,601126.SH,四方股份,北京四方继保自动化股份有限公司,李天平,北京,SSE,False,matched,53.92,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,99,100
2024,2023,50,00579.HK,京能清洁能源,北京京能清洁能源电力股份有限公司,马燕,北京,HKEX,False,not_applicable,53.61,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,101,102
2024,2023,51,000862.SZ,银星能源,宁夏银星能源股份有限公司,李天平,银川,SZSE,False,matched,53.42,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,103,104
2024,2023,52,300014.SZ,亿纬锂能,惠州亿纬锂能股份有限公司,马燕,惠州,SZSE,False,matched,53.32,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,105,106
2024,2023,53,600188.SH,兖矿能源,兖矿能源集团股份有限公司,李天平,,SSE,False,matched,53.23,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,107,108
2024,2023,54,601877.SH,正泰电器,浙江正泰电器股份有限公司,郭海飞,温州,SSE,False,matched,53.22,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,109,110
2024,2023,55,003035.SZ,南网能源,南方电网综合能源股份有限公司,李天平,广州,SZSE,False,matched,53.21,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,111,112
2024,2023,56,600312.SH,平高电气,河南平高电气股份有限公司,马燕,平顶山,SSE,False,matched,53.17,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,113,114
2024,2023,57,02236.HK,惠生工程,惠生工程技术服务有限公司,郭海飞,,HKEX,False,not_applicable,52.81,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,115,116
2024,2023,58,601857.SH,中国石油,中国石油天然气股份有限公司,李天平,北京,SSE,False,matched,52.26,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,117,118
2024,2023,59,688660.SH,电气风电,上海电气风电集团股份有限公司,李天平,上海,SSE,False,matched,52.24,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,119,120
